Ortholog of target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
TNPO1	ENST00000337273.5	transportin 1 	2041	1	1	0	0	2	0	0	2	0	mmu-miR-136-5p				-0.03	-0.10	N/A	2007, 2009, 2011
NRK	ENST00000243300.9	Nik related kinase 	5	1	0	1	0	0	0	0	0	1	mmu-miR-136-5p				-0.03	-0.03	N/A	2007, 2009, 2011
CCER1	ENST00000358859.2	coiled-coil glutamate-rich protein 1 	5	1	0	0	1	0	0	0	0	0	mmu-miR-136-5p				-0.03	-0.03	N/A	2007, 2009, 2011
ARID5B	ENST00000279873.7	AT rich interactive domain 5B (MRF1-like) 	397	1	1	0	0	0	0	0	0	0	mmu-miR-136-5p				-0.03	-0.03	N/A	2007, 2011
CPD	ENST00000225719.4	carboxypeptidase D 	1766	1	0	1	0	1	0	0	1	2	mmu-miR-136-5p				-0.03	-0.03	N/A	2009, 2011
PHF21A	ENST00000257821.4	PHD finger protein 21A 	301	1	1	0	0	0	0	0	0	0	mmu-miR-136-5p				-0.03	-0.03	N/A	2007, 2009, 2011
KCTD16	ENST00000507359.3	potassium channel tetramerization domain containing 16 	36	1	0	1	0	3	2	1	0	1	mmu-miR-136-5p				-0.03	-0.15	N/A	NULL
ZNF462	ENST00000277225.5	zinc finger protein 462 	214	1	1	0	0	0	0	0	0	0	mmu-miR-136-5p				-0.03	-0.03	N/A	NULL
VCAN	ENST00000265077.3	versican 	542	1	0	1	0	0	0	0	0	1	mmu-miR-136-5p				-0.02	-0.03	N/A	2007
SUMO2	ENST00000420826.2	small ubiquitin-like modifier 2 	75	1	0	0	1	0	0	0	0	0	mmu-miR-136-5p				-0.02	-0.15	N/A	NULL
ANKAR	ENST00000438402.2	ankyrin and armadillo repeat containing 	5	1	0	1	0	0	0	0	0	0	mmu-miR-136-5p				-0.02	-0.02	N/A	NULL
TBX6	ENST00000395224.2	T-box 6 	23	1	0	1	0	0	0	0	0	0	mmu-miR-136-5p				-0.02	-0.02	N/A	2011
ANKRD63	ENST00000434396.1	ankyrin repeat domain 63 	5	1	0	1	0	0	0	0	0	0	mmu-miR-136-5p				-0.02	-0.02	N/A	NULL
SORCS1	ENST00000369698.1	sortilin-related VPS10 domain containing receptor 1 	88	1	0	1	0	0	0	0	0	0	mmu-miR-136-5p				-0.02	-0.02	N/A	NULL
PEG10	ENST00000482108.1	paternally expressed 10 	8778	1	0	1	0	0	0	0	0	0	mmu-miR-136-5p				-0.02	-0.02	N/A	NULL
MGRN1	ENST00000415496.1	mahogunin ring finger 1, E3 ubiquitin protein ligase 	2337	1	0	0	1	1	0	0	1	1	mmu-miR-136-5p				-0.02	-0.02	N/A	NULL
MINK1	ENST00000347992.7	misshapen-like kinase 1 	1983	1	0	1	0	0	0	0	0	0	mmu-miR-136-5p				-0.02	-0.02	N/A	2007, 2009, 2011
SLC7A2	ENST00000494857.1	solute carrier family 7 (cationic amino acid transporter, y+ system), member 2 	1233	1	0	1	0	0	0	0	0	1	mmu-miR-136-5p				-0.02	-0.02	N/A	2009, 2011
RYBP	ENST00000477973.2	RING1 and YY1 binding protein 	342	1	0	1	0	0	0	0	0	2	mmu-miR-136-5p				-0.02	-0.02	N/A	2007, 2009, 2011
DCP2	ENST00000389063.2	decapping mRNA 2 	155	1	0	1	0	1	1	0	0	2	mmu-miR-136-5p				-0.02	-0.29	N/A	2011
CCND2	ENST00000261254.3	cyclin D2 	66	1	0	0	1	1	0	0	1	2	mmu-miR-136-5p				-0.02	-0.02	N/A	2009, 2011
ELFN2	ENST00000402918.2	extracellular leucine-rich repeat and fibronectin type III domain containing 2 	22	1	0	0	1	3	0	1	2	0	mmu-miR-136-5p				-0.02	-0.05	N/A	2007, 2009, 2011
TRIM66	ENST00000299550.6	tripartite motif containing 66 	33	1	0	1	0	0	0	0	0	0	mmu-miR-136-5p				-0.02	-0.02	N/A	2011
BCL9L	ENST00000334801.3	B-cell CLL/lymphoma 9-like 	91	1	0	0	1	1	0	1	0	3	mmu-miR-136-5p				-0.02	-0.03	N/A	NULL
RBMS2	ENST00000262031.5	RNA binding motif, single stranded interacting protein 2 	451	1	1	0	0	0	0	0	0	1	mmu-miR-136-5p				-0.02	-0.17	N/A	2011
PSD3	ENST00000327040.8	pleckstrin and Sec7 domain containing 3 	133	1	1	0	0	3	1	1	1	2	mmu-miR-136-5p				-0.02	-0.09	N/A	2007, 2009, 2011
C7orf73	ENST00000507606.1	chromosome 7 open reading frame 73 	847	1	1	0	0	0	0	0	0	0	mmu-miR-136-5p				-0.01	-0.41	N/A	2011
AZIN1	ENST00000337198.5	antizyme inhibitor 1 	2287	1	0	0	1	0	0	0	0	0	mmu-miR-136-5p				-0.01	-0.18	N/A	2007
UGGT1	ENST00000259253.6	UDP-glucose glycoprotein glucosyltransferase 1 	1377	1	1	0	0	1	0	1	0	0	mmu-miR-136-5p				-0.01	-0.05	N/A	2011
NOVA2	ENST00000263257.5	neuro-oncological ventral antigen 2 	7	1	0	0	1	1	0	0	1	1	mmu-miR-136-5p				-0.01	-0.02	N/A	NULL
CCAR2	ENST00000308511.4	cell cycle and apoptosis regulator 2 	9525	1	0	0	1	1	0	0	1	2	mmu-miR-136-5p				-0.01	-0.12	N/A	NULL
CMTR1	ENST00000373451.4	cap methyltransferase 1 	109	1	0	0	1	0	0	0	0	0	mmu-miR-136-5p				-0.01	-0.01	N/A	2007, 2009, 2011
FZD5	ENST00000295417.3	frizzled family receptor 5 	122	1	0	0	1	2*	0	1	0	1	mmu-miR-136-5p				-0.01	-0.29	N/A	2009, 2011
SOD2	ENST00000538183.2	superoxide dismutase 2, mitochondrial 	993	1	0	1	0	0	0	0	0	0	mmu-miR-136-5p				-0.01	-0.21	N/A	NULL
RPGRIP1L	ENST00000262135.4	RPGRIP1-like 	55	1	0	1	0	0	0	0	0	0	mmu-miR-136-5p				-0.01	-0.09	N/A	2007, 2009, 2011
TNPO2	ENST00000425528.1	transportin 2 	1620	1	0	0	1	0	0	0	0	0	mmu-miR-136-5p				-0.01	-0.01	N/A	2007, 2011
AGAP2	ENST00000257897.3	ArfGAP with GTPase domain, ankyrin repeat and PH domain 2 	12	1	0	0	1	0	0	0	0	2	mmu-miR-136-5p				-0.01	-0.01	N/A	2011
CNOT7	ENST00000361272.4	CCR4-NOT transcription complex, subunit 7 	415	1	1	0	0	0	0	0	0	0	mmu-miR-136-5p				-0.01	-0.41	N/A	2007
PHEX	ENST00000537599.1	phosphate regulating endopeptidase homolog, X-linked 	22	1	0	1	0	0	0	0	0	0	mmu-miR-136-5p				-0.01	-0.02	N/A	NULL
DLD	ENST00000205402.5	dihydrolipoamide dehydrogenase 	1623	1	1	0	0	0	0	0	0	0	mmu-miR-136-5p				-0.01	-0.38	N/A	2011
PAQR3	ENST00000512733.1	progestin and adipoQ receptor family member III 	217	1	0	1	0	2	1	1	0	1	mmu-miR-136-5p				-0.01	-0.17	N/A	NULL
PAOX	ENST00000368539.4	polyamine oxidase (exo-N4-amino) 	264	1	0	0	1	0	0	0	0	1	mmu-miR-136-5p				-0.01	-0.21	N/A	NULL
PAX6	ENST00000419022.1	paired box 6 	191	1	0	0	1	1	1	0	0	0	mmu-miR-136-5p				-0.01	-0.23	N/A	2011
KCNK3	ENST00000302909.3	potassium channel, subfamily K, member 3 	19	1	0	0	1	0	0	0	0	0	mmu-miR-136-5p				-0.01	-0.01	N/A	2011
INO80	ENST00000361937.3	INO80 complex subunit 	279	1	0	1	0	1	0	0	1	0	mmu-miR-136-5p				0	-0.14	N/A	2007, 2009, 2011
NSUN3	ENST00000314622.4	NOP2/Sun domain family, member 3 	220	1	0	1	0	0	0	0	0	1	mmu-miR-136-5p				0	-0.09	N/A	NULL
HHIP	ENST00000296575.3	hedgehog interacting protein 	65	1	0	0	1	0	0	0	0	1	mmu-miR-136-5p				0	-0.01	N/A	NULL
SLC44A1	ENST00000374720.3	solute carrier family 44 (choline transporter), member 1 	407	1	0	1	0	2	0	0	2	0	mmu-miR-136-5p				0	-0.06	N/A	NULL
HSPA13	ENST00000285667.3	heat shock protein 70kDa family, member 13 	2175	1	1	0	0	1	0	1	0	0	mmu-miR-136-5p				0	-0.27	N/A	2009, 2011
TROAP	ENST00000257909.3	trophinin associated protein 	270	1	1	0	0	0	0	0	0	0	mmu-miR-136-5p				0	-0.21	N/A	NULL
GJC1	ENST00000426548.1	gap junction protein, gamma 1, 45kDa 	195	1	0	0	1	0	0	0	0	1	mmu-miR-136-5p				0	-0.01	N/A	2009, 2011
LMO4	ENST00000370544.5	LIM domain only 4 	294	1	0	1	0	0	0	0	0	0	mmu-miR-136-5p				0	-0.09	N/A	2011
TFAM	ENST00000487519.1	transcription factor A, mitochondrial 	1323	1	1	0	0	0	0	0	0	1	mmu-miR-136-5p				0	-0.24	N/A	NULL
PLEKHO1	ENST00000369124.4	pleckstrin homology domain containing, family O member 1 	144	1	0	0	1	0	0	0	0	1	mmu-miR-136-5p				0	-0.01	N/A	NULL
TMEM233	ENST00000426426.1	transmembrane protein 233 	5	1	1	0	0	0	0	0	0	0	mmu-miR-136-5p				0	-0.45	N/A	NULL
ACSF2	ENST00000427954.2	acyl-CoA synthetase family member 2 	1502	1	0	0	1	0	0	0	0	0	mmu-miR-136-5p				0	-0.14	N/A	NULL
BNC2	ENST00000380672.4	basonuclin 2 	770	1	1	0	0	0	0	0	0	0	mmu-miR-136-5p				0	-0.03	N/A	2007, 2009, 2011
PRPF4	ENST00000374199.4	pre-mRNA processing factor 4 	2735	1	1	0	0	1	0	0	1	0	mmu-miR-136-5p				0	-0.20	N/A	NULL
SPCS1	ENST00000233025.7	signal peptidase complex subunit 1 homolog (S. cerevisiae) 	13730	1	0	0	1	0	0	0	0	0	mmu-miR-136-5p				0	-0.23	N/A	NULL
ZBTB20	ENST00000462705.1	zinc finger and BTB domain containing 20 	5	1	0	1	0	7	0	3	4	2	mmu-miR-136-5p				0	-0.17	N/A	NULL
VCP	ENST00000358901.6	valosin containing protein 	5387	1	0	1	0	0	0	0	0	0	mmu-miR-136-5p				0	-0.13	N/A	2011
KDM3A	ENST00000409556.1	lysine (K)-specific demethylase 3A 	2300	1	0	1	0	0	0	0	0	0	mmu-miR-136-5p				0	-0.02	N/A	2007
PCDH17	ENST00000377918.3	protocadherin 17 	477	1	0	1	0	0	0	0	0	1	mmu-miR-136-5p				0	-0.02	N/A	NULL
