Ortholog of target gene	Representative transcript	Gene name	3P-seq tags + 5	Total sites	8mer sites	7mer-m8 sites	7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT
GRIP1	ENST00000398016.3	glutamate receptor interacting protein 1 	28	1	0	0	1	0	mmu-miR-370-3p				-0.12	-0.12	N/A
PTPRN	ENST00000409251.3	protein tyrosine phosphatase, receptor type, N 	387	1	0	1	0	0	mmu-miR-370-3p				-0.12	-0.12	N/A
ADD3	ENST00000277900.8	adducin 3 (gamma) 	537	1	0	1	0	0	mmu-miR-370-3p				-0.12	-0.12	N/A
MMP14	ENST00000311852.6	matrix metallopeptidase 14 (membrane-inserted) 	276	1	1	0	0	1	mmu-miR-370-3p				-0.12	-0.12	N/A
TFDP2	ENST00000499676.2	transcription factor Dp-2 (E2F dimerization partner 2) 	128	2	1	1	0	0	mmu-miR-370-3p				-0.12	-0.24	N/A
GNG12	ENST00000370982.3	guanine nucleotide binding protein (G protein), gamma 12 	1362	1	0	0	1	0	mmu-miR-370-3p				-0.12	-0.12	N/A
BRMS1L	ENST00000216807.7	breast cancer metastasis-suppressor 1-like 	230	2	0	2	0	0	mmu-miR-370-3p				-0.12	-0.14	N/A
RCOR1	ENST00000262241.6	REST corepressor 1 	403	2	0	1	1	0	mmu-miR-370-3p				-0.12	-0.15	N/A
KIFC2	ENST00000301331.5	kinesin family member C2 	101	0	0	0	0	1	mmu-miR-370-3p				-0.12	-0.12	N/A
THAP3	ENST00000054650.4	THAP domain containing, apoptosis associated protein 3 	17	1	0	0	1	0	mmu-miR-370-3p				-0.12	-0.12	N/A
HIRA	ENST00000340170.4	histone cell cycle regulator 	23	2	0	1	1	0	mmu-miR-370-3p				-0.12	-0.12	N/A
GJB4	ENST00000339480.1	gap junction protein, beta 4, 30.3kDa 	5	2	0	2	0	0	mmu-miR-370-3p				-0.12	-0.12	N/A
BARD1	ENST00000260947.4	BRCA1 associated RING domain 1 	162	2	0	1	1	0	mmu-miR-370-3p				-0.11	-0.12	N/A
CCNY	ENST00000374706.1	cyclin Y 	672	2	0	0	2	0	mmu-miR-370-3p				-0.11	-0.13	N/A
CYP1A1	ENST00000379727.3	cytochrome P450, family 1, subfamily A, polypeptide 1 	837	1	0	0	1	0	mmu-miR-370-3p				-0.11	-0.11	N/A
SEC22C	ENST00000264454.3	SEC22 vesicle trafficking protein homolog C (S. cerevisiae) 	855	5	1	3	1	1	mmu-miR-370-3p				-0.11	-0.15	N/A
CAMK1G	ENST00000009105.1	calcium/calmodulin-dependent protein kinase IG 	5	1	0	0	1	0	mmu-miR-370-3p				-0.11	-0.11	N/A
CS	ENST00000548567.1	citrate synthase 	52	1	0	1	0	1	mmu-miR-370-3p				-0.11	-0.11	N/A
SMCO3	ENST00000316048.2	single-pass membrane protein with coiled-coil domains 3 	5	1	0	1	0	0	mmu-miR-370-3p				-0.11	-0.11	N/A
DGCR6L	ENST00000248879.3	DiGeorge syndrome critical region gene 6-like 	18	2	1	0	1	0	mmu-miR-370-3p				-0.11	-0.52	N/A
LRCH3	ENST00000438796.2	leucine-rich repeats and calponin homology (CH) domain containing 3 	399	2	0	1	1	2	mmu-miR-370-3p				-0.11	-0.20	N/A
ARHGEF26	ENST00000356448.4	Rho guanine nucleotide exchange factor (GEF) 26 	164	1	0	0	1	1	mmu-miR-370-3p				-0.11	-0.12	N/A
B3GALNT2	ENST00000366600.3	beta-1,3-N-acetylgalactosaminyltransferase 2 	106	1	0	1	0	0	mmu-miR-370-3p				-0.11	-0.12	N/A
TRIM33	ENST00000358465.2	tripartite motif containing 33 	201	2	0	1	1	0	mmu-miR-370-3p				-0.11	-0.12	N/A
EYA3	ENST00000373871.3	eyes absent homolog 3 (Drosophila) 	50	1	0	0	1	1	mmu-miR-370-3p				-0.11	-0.11	N/A
CACNA1D	ENST00000288139.4	calcium channel, voltage-dependent, L type, alpha 1D subunit 	5	2	0	2	0	1	mmu-miR-370-3p				-0.11	-0.13	N/A
AP1AR	ENST00000274000.5	adaptor-related protein complex 1 associated regulatory protein 	89	1	0	0	1	0	mmu-miR-370-3p				-0.11	-0.11	N/A
TSPEAR	ENST00000323084.4	thrombospondin-type laminin G domain and EAR repeats 	5	1	0	1	0	0	mmu-miR-370-3p				-0.11	-0.11	N/A
FMNL2	ENST00000475377.2	formin-like 2 	31	1	0	0	1	0	mmu-miR-370-3p				-0.11	-0.11	N/A
PRKCSH	ENST00000252455.2	protein kinase C substrate 80K-H 	3617	1	0	0	1	0	mmu-miR-370-3p				-0.11	-0.11	N/A
BMP3	ENST00000282701.2	bone morphogenetic protein 3 	36	1	0	0	1	0	mmu-miR-370-3p				-0.11	-0.11	N/A
DENND5A	ENST00000530044.1	DENN/MADD domain containing 5A 	294	1	1	0	0	0	mmu-miR-370-3p				-0.11	-0.11	N/A
ARMC6	ENST00000392335.2	armadillo repeat containing 6 	1295	2	0	2	0	0	mmu-miR-370-3p				-0.11	-0.11	N/A
NARG2	ENST00000261520.4	NMDA receptor regulated 2 	211	2	1	1	0	0	mmu-miR-370-3p				-0.11	-0.13	N/A
DCK	ENST00000504730.1	deoxycytidine kinase 	200	1	0	1	0	0	mmu-miR-370-3p				-0.11	-0.14	N/A
C12orf49	ENST00000261318.3	chromosome 12 open reading frame 49 	673	2	0	1	1	1	mmu-miR-370-3p				-0.11	-0.22	N/A
DSTN	ENST00000246069.7	destrin (actin depolymerizing factor) 	10116	1	1	0	0	2	mmu-miR-370-3p				-0.11	-0.36	N/A
GIT2	ENST00000355312.3	G protein-coupled receptor kinase interacting ArfGAP 2 	924	3	1	1	1	3	mmu-miR-370-3p				-0.11	-0.12	N/A
ARHGAP6	ENST00000380736.1	Rho GTPase activating protein 6 	12	1	0	1	0	0	mmu-miR-370-3p				-0.11	-0.11	N/A
BAZ1B	ENST00000339594.4	bromodomain adjacent to zinc finger domain, 1B 	40	1	1	0	0	0	mmu-miR-370-3p				-0.11	-0.11	N/A
MLXIPL	ENST00000434326.1	MLX interacting protein-like 	58	1	0	0	1	0	mmu-miR-370-3p				-0.11	-0.11	N/A
DUSP15	ENST00000486996.1	dual specificity phosphatase 15 	10	1	0	0	1	0	mmu-miR-370-3p				-0.11	-0.11	N/A
PAPD5	ENST00000357464.3	PAP associated domain containing 5 	152	1	1	0	0	1	mmu-miR-370-3p				-0.11	-0.11	N/A
NTSR1	ENST00000370501.3	neurotensin receptor 1 (high affinity) 	37	1	0	0	1	1	mmu-miR-370-3p				-0.11	-0.11	N/A
VPS13B	ENST00000395996.1	vacuolar protein sorting 13 homolog B (yeast) 	262	5	2	1	2	1	mmu-miR-370-3p				-0.11	-0.11	N/A
CYTH4	ENST00000248901.6	cytohesin 4 	5	2	0	2	0	0	mmu-miR-370-3p				-0.11	-0.11	N/A
KREMEN1	ENST00000400335.4	kringle containing transmembrane protein 1 	606	2	1	1	0	3	mmu-miR-370-3p				-0.11	-0.11	N/A
CCDC117	ENST00000249064.4	coiled-coil domain containing 117 	211	3	1	1	1	1	mmu-miR-370-3p				-0.11	-0.13	N/A
PTPN1	ENST00000371621.3	protein tyrosine phosphatase, non-receptor type 1 	142	3	0	1	2	2	mmu-miR-370-3p				-0.11	-0.17	N/A
C10orf118	ENST00000543782.1	chromosome 10 open reading frame 118 	146	2	0	2	0	0	mmu-miR-370-3p				-0.11	-0.11	N/A
MRPL30	ENST00000338148.3	mitochondrial ribosomal protein L30 	246	2	0	1	1	0	mmu-miR-370-3p				-0.11	-0.14	N/A
C2orf15	ENST00000512183.2	chromosome 2 open reading frame 15 	246	2	0	1	1	0	mmu-miR-370-3p				-0.11	-0.14	N/A
G3BP1	ENST00000394123.3	GTPase activating protein (SH3 domain) binding protein 1 	688	1	0	0	1	1	mmu-miR-370-3p				-0.11	-0.12	N/A
CRK	ENST00000398970.5	v-crk avian sarcoma virus CT10 oncogene homolog 	1841	1	0	0	1	0	mmu-miR-370-3p				-0.11	-0.11	N/A
CD82	ENST00000227155.4	CD82 molecule 	1117	1	0	1	0	0	mmu-miR-370-3p				-0.11	-0.11	N/A
DMRTB1	ENST00000371445.3	DMRT-like family B with proline-rich C-terminal, 1 	5	0	0	0	0	0	mmu-miR-370-3p				-0.11	-0.11	N/A
CRTC3	ENST00000420329.2	CREB regulated transcription coactivator 3 	612	1	1	0	0	0	mmu-miR-370-3p				-0.11	-0.11	N/A
SCP2	ENST00000488965.1	sterol carrier protein 2 	3640	1	0	0	1	2	mmu-miR-370-3p				-0.11	-0.11	N/A
MLYCD	ENST00000262430.4	malonyl-CoA decarboxylase 	379	1	0	1	0	0	mmu-miR-370-3p				-0.11	-0.11	N/A
NOSTRIN	ENST00000317647.7	nitric oxide synthase trafficking 	5	1	0	1	0	0	mmu-miR-370-3p				-0.11	-0.11	N/A
CXCR5	ENST00000292174.4	chemokine (C-X-C motif) receptor 5 	5	1	1	0	0	4	mmu-miR-370-3p				-0.11	-0.11	N/A
PCDH15	ENST00000395432.2	protocadherin-related 15 	5	1	0	1	0	0	mmu-miR-370-3p				-0.11	-0.11	N/A
SAP30BP	ENST00000584667.1	SAP30 binding protein 	867	1	1	0	0	0	mmu-miR-370-3p				-0.11	-0.15	N/A
TRABD2B	ENST00000606738.2	TraB domain containing 2B 	244	1	0	0	1	1	mmu-miR-370-3p				-0.11	-0.14	N/A
NAA40	ENST00000377793.4	N(alpha)-acetyltransferase 40, NatD catalytic subunit 	217	1	0	1	0	1	mmu-miR-370-3p				-0.11	-0.18	N/A
BLOC1S6	ENST00000220531.3	biogenesis of lysosomal organelles complex-1, subunit 6, pallidin 	1754	1	0	0	1	0	mmu-miR-370-3p				-0.11	-0.11	N/A
ZNF48	ENST00000320159.2	zinc finger protein 48 	426	1	1	0	0	0	mmu-miR-370-3p				-0.11	-0.14	N/A
EYA1	ENST00000388742.4	eyes absent homolog 1 (Drosophila) 	222	2	0	2	0	0	mmu-miR-370-3p				-0.11	-0.11	N/A
ETV5	ENST00000306376.5	ets variant 5 	1085	1	1	0	0	0	mmu-miR-370-3p				-0.11	-0.11	N/A
TMEM109	ENST00000227525.3	transmembrane protein 109 	4675	1	0	0	1	0	mmu-miR-370-3p				-0.11	-0.11	N/A
C9orf171	ENST00000343036.2	chromosome 9 open reading frame 171 	5	1	0	1	0	0	mmu-miR-370-3p				-0.11	-0.11	N/A
LINGO2	ENST00000379992.2	leucine rich repeat and Ig domain containing 2 	52	1	0	0	1	1	mmu-miR-370-3p				-0.11	-0.11	N/A
SLC24A2	ENST00000341998.2	solute carrier family 24 (sodium/potassium/calcium exchanger), member 2 	5	5	0	4	1	2	mmu-miR-370-3p				-0.11	-0.11	N/A
SNX22	ENST00000325881.4	sorting nexin 22 	5	1	0	1	0	1	mmu-miR-370-3p				-0.11	-0.11	N/A
POMGNT1	ENST00000396420.3	protein O-linked mannose N-acetylglucosaminyltransferase 1 (beta 1,2-) 	2123	1	0	0	1	1	mmu-miR-370-3p				-0.11	-0.11	N/A
RP11-831H9.11	ENST00000528405.1	Uncharacterized protein  	10	1	0	1	0	0	mmu-miR-370-3p				-0.11	-0.16	N/A
PRDM10	ENST00000358825.5	PR domain containing 10 	68	0	0	0	0	0	mmu-miR-370-3p				-0.11	-0.11	N/A
AJAP1	ENST00000378191.4	adherens junctions associated protein 1 	5	3	1	1	1	4	mmu-miR-370-3p				-0.11	-0.11	N/A
AC005609.1	ENST00000502505.1	Uncharacterized protein; cDNA FLJ34090 fis, clone FCBBF3006399  	5	1	0	1	0	1	mmu-miR-370-3p				-0.11	-0.11	N/A
CSRP1	ENST00000367306.1	cysteine and glycine-rich protein 1 	15542	1	0	0	1	0	mmu-miR-370-3p				-0.11	-0.11	N/A
NNT	ENST00000264663.5	nicotinamide nucleotide transhydrogenase 	2771	1	0	1	0	0	mmu-miR-370-3p				-0.11	-0.11	N/A
GABBR1	ENST00000376977.3	gamma-aminobutyric acid (GABA) B receptor, 1 	213	2	0	2	0	1	mmu-miR-370-3p				-0.11	-0.11	N/A
KCNAB2	ENST00000378097.1	potassium voltage-gated channel, shaker-related subfamily, beta member 2 	67	5	1	3	1	1	mmu-miR-370-3p				-0.11	-0.11	N/A
RAB3A	ENST00000222256.4	RAB3A, member RAS oncogene family 	10	1	0	1	0	0	mmu-miR-370-3p				-0.11	-0.11	N/A
SMURF1	ENST00000361368.2	SMAD specific E3 ubiquitin protein ligase 1 	58	3	1	2	0	4	mmu-miR-370-3p				-0.11	-0.39	N/A
BEST3	ENST00000488961.1	bestrophin 3 	5	1	0	0	1	0	mmu-miR-370-3p				-0.11	-0.11	N/A
GUCA1B	ENST00000230361.3	guanylate cyclase activator 1B (retina) 	13	1	0	0	1	0	mmu-miR-370-3p				-0.11	-0.11	N/A
SLC51A	ENST00000296327.5	solute carrier family 51, alpha subunit 	310	1	0	0	1	1	mmu-miR-370-3p				-0.11	-0.11	N/A
HES2	ENST00000377834.4	hairy and enhancer of split 2 (Drosophila) 	5	1	0	1	0	2	mmu-miR-370-3p				-0.11	-0.11	N/A
SIGIRR	ENST00000531205.1	single immunoglobulin and toll-interleukin 1 receptor (TIR) domain 	80	1	0	1	0	0	mmu-miR-370-3p				-0.11	-0.12	N/A
SNX30	ENST00000374232.3	sorting nexin family member 30 	33	2	0	1	1	2	mmu-miR-370-3p				-0.11	-0.12	N/A
SCRN2	ENST00000407215.3	secernin 2 	197	0	0	0	0	2	mmu-miR-370-3p				-0.11	-0.11	N/A
CXADR	ENST00000356275.6	coxsackie virus and adenovirus receptor 	56	2	0	0	2	1	mmu-miR-370-3p				-0.11	-0.11	N/A
F9	ENST00000218099.2	coagulation factor IX 	5	1	0	1	0	0	mmu-miR-370-3p				-0.11	-0.11	N/A
C11orf82	ENST00000528759.1	chromosome 11 open reading frame 82 	579	1	0	0	1	0	mmu-miR-370-3p				-0.11	-0.11	N/A
GPR61	ENST00000527748.1	G protein-coupled receptor 61 	5	2	0	1	1	0	mmu-miR-370-3p				-0.11	-0.11	N/A
C11orf44	ENST00000317019.2	chromosome 11 open reading frame 44 	5	1	0	0	1	0	mmu-miR-370-3p				-0.11	-0.11	N/A
NUDT18	ENST00000521807.2	nudix (nucleoside diphosphate linked moiety X)-type motif 18 	40	1	0	1	0	0	mmu-miR-370-3p				-0.11	-0.11	N/A
TMED3	ENST00000299705.5	transmembrane emp24 protein transport domain containing 3 	12499	1	0	1	0	0	mmu-miR-370-3p				-0.11	-0.11	N/A
TFAP2C	ENST00000201031.2	transcription factor AP-2 gamma (activating enhancer binding protein 2 gamma) 	22	2	0	2	0	1	mmu-miR-370-3p				-0.11	-0.11	N/A
IARS	ENST00000375629.3	isoleucyl-tRNA synthetase 	65	1	0	0	1	0	mmu-miR-370-3p				-0.11	-0.11	N/A
RTTN	ENST00000454359.1	rotatin 	288	1	0	1	0	1	mmu-miR-370-3p				-0.11	-0.11	N/A
ATP9A	ENST00000311637.5	ATPase, class II, type 9A 	1511	2	0	1	1	2	mmu-miR-370-3p				-0.11	-0.12	N/A
ZCCHC24	ENST00000372336.3	zinc finger, CCHC domain containing 24 	359	1	1	0	0	0	mmu-miR-370-3p				-0.11	-0.12	N/A
DUSP8	ENST00000397374.3	dual specificity phosphatase 8 	26	1	1	0	0	0	mmu-miR-370-3p				-0.11	-0.12	N/A
STARD13	ENST00000336934.5	StAR-related lipid transfer (START) domain containing 13 	314	2	0	1	1	0	mmu-miR-370-3p				-0.11	-0.15	N/A
DNAJC16	ENST00000375847.3	DnaJ (Hsp40) homolog, subfamily C, member 16 	366	1	0	1	0	1	mmu-miR-370-3p				-0.11	-0.11	N/A
INHBE	ENST00000266646.2	inhibin, beta E 	268	1	0	1	0	1	mmu-miR-370-3p				-0.11	-0.11	N/A
ARF1	ENST00000540651.1	ADP-ribosylation factor 1 	235	1	1	0	0	0	mmu-miR-370-3p				-0.11	-0.12	N/A
SLC38A11	ENST00000303735.4	solute carrier family 38, member 11 	5	1	0	1	0	1	mmu-miR-370-3p				-0.11	-0.11	N/A
WNT3	ENST00000225512.5	wingless-type MMTV integration site family, member 3 	46	1	0	0	1	1	mmu-miR-370-3p				-0.11	-0.11	N/A
CTNNA1	ENST00000518825.1	catenin (cadherin-associated protein), alpha 1, 102kDa 	2009	1	0	0	1	0	mmu-miR-370-3p				-0.11	-0.11	N/A
ARHGEF7	ENST00000426073.2	Rho guanine nucleotide exchange factor (GEF) 7 	361	1	0	1	0	0	mmu-miR-370-3p				-0.11	-0.11	N/A
NIPSNAP1	ENST00000216121.7	nipsnap homolog 1 (C. elegans) 	2429	1	0	0	1	1	mmu-miR-370-3p				-0.11	-0.11	N/A
CLIC5	ENST00000339561.6	chloride intracellular channel 5 	21	2	0	1	1	2	mmu-miR-370-3p				-0.11	-0.11	N/A
MYADM	ENST00000391770.4	myeloid-associated differentiation marker 	3436	1	0	0	1	1	mmu-miR-370-3p				-0.11	-0.11	N/A
DIXDC1	ENST00000440460.2	DIX domain containing 1 	307	1	0	0	1	1	mmu-miR-370-3p				-0.11	-0.11	N/A
C9orf91	ENST00000374049.4	chromosome 9 open reading frame 91 	151	2	0	1	1	0	mmu-miR-370-3p				-0.11	-0.14	N/A
MECOM	ENST00000460814.1	MDS1 and EVI1 complex locus 	138	2	0	0	2	0	mmu-miR-370-3p				-0.11	-0.11	N/A
STON2	ENST00000267540.2	stonin 2 	40	2	0	1	1	1	mmu-miR-370-3p				-0.11	-0.13	N/A
NLRP4	ENST00000587891.1	NLR family, pyrin domain containing 4 	5	1	0	0	1	0	mmu-miR-370-3p				-0.10	-0.10	N/A
PODXL2	ENST00000342480.6	podocalyxin-like 2 	155	1	0	1	0	0	mmu-miR-370-3p				-0.10	-0.10	N/A
HEPN1	ENST00000408930.5	hepatocellular carcinoma, down-regulated 1 	5	1	0	0	1	0	mmu-miR-370-3p				-0.10	-0.10	N/A
FAM60A	ENST00000539409.1	family with sequence similarity 60, member A 	58	1	0	0	1	0	mmu-miR-370-3p				-0.10	-0.10	N/A
TRIB2	ENST00000155926.4	tribbles pseudokinase 2 	68	1	0	0	1	1	mmu-miR-370-3p				-0.10	-0.10	N/A
TUFT1	ENST00000368849.3	tuftelin 1 	599	1	0	0	1	0	mmu-miR-370-3p				-0.10	-0.10	N/A
LHFPL3	ENST00000535008.1	lipoma HMGIC fusion partner-like 3 	5	1	0	0	1	0	mmu-miR-370-3p				-0.10	-0.10	N/A
OS9	ENST00000389142.5	osteosarcoma amplified 9, endoplasmic reticulum lectin 	1038	1	0	1	0	0	mmu-miR-370-3p				-0.10	-0.10	N/A
GPATCH8	ENST00000591680.1	G patch domain containing 8 	337	2	0	2	0	0	mmu-miR-370-3p				-0.10	-0.11	N/A
PCDHGB4	ENST00000519479.1	protocadherin gamma subfamily B, 4 	145	1	0	0	1	1	mmu-miR-370-3p				-0.10	-0.10	N/A
LHX6	ENST00000373755.2	LIM homeobox 6 	196	1	0	0	1	0	mmu-miR-370-3p				-0.10	-0.10	N/A
FGF23	ENST00000237837.1	fibroblast growth factor 23 	5	1	0	1	0	2	mmu-miR-370-3p				-0.10	-0.10	N/A
SNX27	ENST00000368843.3	sorting nexin family member 27 	46	2	0	1	1	1	mmu-miR-370-3p				-0.10	-0.10	N/A
CDC16	ENST00000252458.6	cell division cycle 16 	279	1	0	1	0	0	mmu-miR-370-3p				-0.10	-0.10	N/A
CBFA2T3	ENST00000327483.5	core-binding factor, runt domain, alpha subunit 2; translocated to, 3 	7	1	1	0	0	0	mmu-miR-370-3p				-0.10	-0.10	N/A
BANF1	ENST00000312175.2	barrier to autointegration factor 1 	148	1	0	1	0	0	mmu-miR-370-3p				-0.10	-0.10	N/A
RSPRY1	ENST00000394420.4	ring finger and SPRY domain containing 1 	735	1	0	1	0	0	mmu-miR-370-3p				-0.10	-0.10	N/A
TET3	ENST00000409262.3	tet methylcytosine dioxygenase 3 	1437	3	1	1	1	2	mmu-miR-370-3p				-0.10	-0.10	N/A
RAB31	ENST00000578921.1	RAB31, member RAS oncogene family 	726	1	0	0	1	0	mmu-miR-370-3p				-0.10	-0.10	N/A
CNOT8	ENST00000285896.6	CCR4-NOT transcription complex, subunit 8 	319	1	0	0	1	1	mmu-miR-370-3p				-0.10	-0.12	N/A
GPR39	ENST00000329321.3	G protein-coupled receptor 39 	151	1	0	1	0	1	mmu-miR-370-3p				-0.10	-0.12	N/A
OGFOD1	ENST00000566157.1	2-oxoglutarate and iron-dependent oxygenase domain containing 1 	1030	1	0	1	0	0	mmu-miR-370-3p				-0.10	-0.11	N/A
NMT2	ENST00000378165.4	N-myristoyltransferase 2 	318	1	0	1	0	0	mmu-miR-370-3p				-0.10	-0.11	N/A
CCDC149	ENST00000428116.2	coiled-coil domain containing 149 	187	1	0	1	0	2	mmu-miR-370-3p				-0.10	-0.11	N/A
ZMYND11	ENST00000381591.1	zinc finger, MYND-type containing 11 	43	0	0	0	0	0	mmu-miR-370-3p				-0.10	-0.10	N/A
PACSIN1	ENST00000244458.2	protein kinase C and casein kinase substrate in neurons 1 	25	3	0	1	2	1	mmu-miR-370-3p				-0.10	-0.10	N/A
CHST15	ENST00000346248.5	carbohydrate (N-acetylgalactosamine 4-sulfate 6-O) sulfotransferase 15 	59	2	1	1	0	1	mmu-miR-370-3p				-0.10	-0.10	N/A
GOLGA2	ENST00000421699.2	golgin A2 	10	1	0	0	1	0	mmu-miR-370-3p				-0.10	-0.10	N/A
HPS5	ENST00000537258.1	Hermansky-Pudlak syndrome 5 	281	0	0	0	0	0	mmu-miR-370-3p				-0.10	-0.10	N/A
OVOL1	ENST00000335987.3	ovo-like 1(Drosophila) 	5	2	1	0	1	0	mmu-miR-370-3p				-0.10	-0.10	N/A
KIF24	ENST00000402558.2	kinesin family member 24 	84	2	0	2	0	0	mmu-miR-370-3p				-0.10	-0.10	N/A
ANKRD54	ENST00000215941.4	ankyrin repeat domain 54 	5	1	0	1	0	0	mmu-miR-370-3p				-0.10	-0.10	N/A
C1orf226	ENST00000458626.2	chromosome 1 open reading frame 226 	369	1	0	0	1	0	mmu-miR-370-3p				-0.10	-0.10	N/A
USP45	ENST00000392738.2	ubiquitin specific peptidase 45 	491	1	0	1	0	0	mmu-miR-370-3p				-0.10	-0.11	N/A
MCOLN3	ENST00000370589.2	mucolipin 3 	47	1	0	0	1	0	mmu-miR-370-3p				-0.10	-0.20	N/A
LAMC1	ENST00000258341.4	laminin, gamma 1 (formerly LAMB2) 	1082	3	1	1	1	0	mmu-miR-370-3p				-0.10	-0.14	N/A
NEO1	ENST00000261908.6	neogenin 1 	261	2	1	0	1	1	mmu-miR-370-3p				-0.10	-0.20	N/A
RTN3	ENST00000339997.4	reticulon 3 	85	1	1	0	0	0	mmu-miR-370-3p				-0.10	-0.10	N/A
POMT1	ENST00000423007.1	protein-O-mannosyltransferase 1 	2617	1	0	1	0	0	mmu-miR-370-3p				-0.10	-0.10	N/A
PCDHGC4	ENST00000306593.1	protocadherin gamma subfamily C, 4 	145	1	0	0	1	1	mmu-miR-370-3p				-0.10	-0.10	N/A
SAMD7	ENST00000428432.2	sterile alpha motif domain containing 7 	5	2	0	2	0	0	mmu-miR-370-3p				-0.10	-0.10	N/A
ST6GAL2	ENST00000361686.4	ST6 beta-galactosamide alpha-2,6-sialyltranferase 2 	5	2	0	1	1	0	mmu-miR-370-3p				-0.10	-0.10	N/A
JAKMIP3	ENST00000298622.4	Janus kinase and microtubule interacting protein 3 	5	1	0	1	0	0	mmu-miR-370-3p				-0.10	-0.10	N/A
FLT1	ENST00000282397.4	fms-related tyrosine kinase 1 	7	1	0	1	0	1	mmu-miR-370-3p				-0.10	-0.10	N/A
STK32A	ENST00000397936.3	serine/threonine kinase 32A 	8	3	0	2	1	1	mmu-miR-370-3p				-0.10	-0.10	N/A
RHOB	ENST00000272233.4	ras homolog family member B 	6532	1	0	1	0	0	mmu-miR-370-3p				-0.10	-0.10	N/A
RFX5	ENST00000290524.4	regulatory factor X, 5 (influences HLA class II expression) 	360	1	1	0	0	0	mmu-miR-370-3p				-0.10	-0.18	N/A
SLC48A1	ENST00000442218.2	solute carrier family 48 (heme transporter), member 1 	470	1	0	0	1	1	mmu-miR-370-3p				-0.10	-0.11	N/A
RNF146	ENST00000356799.2	ring finger protein 146 	1504	1	0	0	1	0	mmu-miR-370-3p				-0.10	-0.10	N/A
DNALI1	ENST00000296218.7	dynein, axonemal, light intermediate chain 1 	56	2	1	1	0	0	mmu-miR-370-3p				-0.10	-0.19	N/A
FAM126A	ENST00000409923.1	family with sequence similarity 126, member A 	241	3	1	1	1	1	mmu-miR-370-3p				-0.10	-0.36	N/A
C9orf139	ENST00000314330.2	chromosome 9 open reading frame 139 	5	1	0	1	0	2	mmu-miR-370-3p				-0.10	-0.10	N/A
CNDP1	ENST00000582365.1	carnosine dipeptidase 1 (metallopeptidase M20 family) 	5	1	0	0	1	0	mmu-miR-370-3p				-0.10	-0.10	N/A
RASA3	ENST00000334062.7	RAS p21 protein activator 3 	612	2	0	2	0	0	mmu-miR-370-3p				-0.10	-0.10	N/A
DFNB59	ENST00000409117.3	deafness, autosomal recessive 59 	11	1	0	0	1	0	mmu-miR-370-3p				-0.10	-0.19	N/A
RP11-385D13.1	ENST00000455584.2	Uncharacterized protein  	5	1	1	0	0	0	mmu-miR-370-3p				-0.10	-0.10	N/A
LZTS1	ENST00000381569.1	leucine zipper, putative tumor suppressor 1 	33	1	0	1	0	2	mmu-miR-370-3p				-0.10	-0.10	N/A
DPF3	ENST00000541685.1	D4, zinc and double PHD fingers, family 3 	5	1	0	0	1	0	mmu-miR-370-3p				-0.10	-0.10	N/A
PKP1	ENST00000367324.3	plakophilin 1 (ectodermal dysplasia/skin fragility syndrome) 	12	1	0	0	1	1	mmu-miR-370-3p				-0.10	-0.10	N/A
AMN	ENST00000299155.5	amnion associated transmembrane protein 	71	2	1	1	0	0	mmu-miR-370-3p				-0.10	-0.23	N/A
PPP1CC	ENST00000335007.5	protein phosphatase 1, catalytic subunit, gamma isozyme 	3739	1	1	0	0	1	mmu-miR-370-3p				-0.10	-0.12	N/A
SEC61A1	ENST00000243253.3	Sec61 alpha 1 subunit (S. cerevisiae) 	2966	1	0	1	0	2	mmu-miR-370-3p				-0.10	-0.10	N/A
C11orf30	ENST00000529032.1	chromosome 11 open reading frame 30 	230	1	0	1	0	1	mmu-miR-370-3p				-0.10	-0.17	N/A
IMPG2	ENST00000193391.7	interphotoreceptor matrix proteoglycan 2 	5	1	1	0	0	0	mmu-miR-370-3p				-0.10	-0.10	N/A
HECTD1	ENST00000553700.1	HECT domain containing E3 ubiquitin protein ligase 1 	34	1	0	1	0	0	mmu-miR-370-3p				-0.10	-0.10	N/A
LRRC38	ENST00000376085.3	leucine rich repeat containing 38 	5	1	0	0	1	0	mmu-miR-370-3p				-0.10	-0.10	N/A
SPRYD3	ENST00000301463.4	SPRY domain containing 3 	353	1	0	1	0	0	mmu-miR-370-3p				-0.10	-0.10	N/A
FASTK	ENST00000540185.1	Fas-activated serine/threonine kinase 	645	1	0	0	1	1	mmu-miR-370-3p				-0.10	-0.10	N/A
PEX12	ENST00000225873.4	peroxisomal biogenesis factor 12 	23	1	0	0	1	2	mmu-miR-370-3p				-0.10	-0.10	N/A
TMIE	ENST00000326431.3	transmembrane inner ear 	26	1	0	0	1	0	mmu-miR-370-3p				-0.10	-0.10	N/A
NXPH3	ENST00000328741.5	neurexophilin 3 	65	3	1	1	1	0	mmu-miR-370-3p				-0.10	-0.15	N/A
RIT1	ENST00000368323.3	Ras-like without CAAX 1 	192	1	0	1	0	1	mmu-miR-370-3p				-0.10	-0.12	N/A
