Ortholog of target gene	Representative transcript	Gene name	3P-seq tags + 5	Total sites	8mer sites	7mer-m8 sites	7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT
ANKRD12	ENST00000262126.4	ankyrin repeat domain 12 	11	1	0	1	0	0	mmu-let-7d-3p				-0.12	-0.16	N/A
PCLO	ENST00000333891.9	piccolo presynaptic cytomatrix protein 	22	1	0	0	1	1	mmu-let-7d-3p				-0.12	-0.12	N/A
PRKCB	ENST00000303531.7	protein kinase C, beta 	81	1	0	1	0	0	mmu-let-7d-3p				-0.12	-0.12	N/A
GCNT4	ENST00000322348.4	glucosaminyl (N-acetyl) transferase 4, core 2 	19	1	0	1	0	0	mmu-let-7d-3p				-0.12	-0.17	N/A
GPRC5B	ENST00000300571.2	G protein-coupled receptor, family C, group 5, member B 	84	1	0	0	1	0	mmu-let-7d-3p				-0.11	-0.18	N/A
RCOR3	ENST00000367006.4	REST corepressor 3 	374	1	0	0	1	0	mmu-let-7d-3p				-0.11	-0.20	N/A
RAB23	ENST00000317483.3	RAB23, member RAS oncogene family 	32	1	0	0	1	0	mmu-let-7d-3p				-0.11	-0.27	N/A
TBX18	ENST00000369663.5	T-box 18 	54	1	0	0	1	0	mmu-let-7d-3p				-0.11	-0.17	N/A
FAM210B	ENST00000371384.3	family with sequence similarity 210, member B 	55	1	0	0	1	0	mmu-let-7d-3p				-0.11	-0.27	N/A
AVL9	ENST00000318709.4	AVL9 homolog (S. cerevisiase) 	246	1	0	1	0	0	mmu-let-7d-3p				-0.10	-0.16	N/A
NKTR	ENST00000232978.8	natural killer-tumor recognition sequence 	798	1	0	1	0	0	mmu-let-7d-3p				-0.09	-0.09	N/A
PIGM	ENST00000368090.2	phosphatidylinositol glycan anchor biosynthesis, class M 	179	1	0	1	0	0	mmu-let-7d-3p				-0.09	-0.16	N/A
KLF11	ENST00000305883.1	Kruppel-like factor 11 	42	1	1	0	0	0	mmu-let-7d-3p				-0.09	-0.59	N/A
PRKG1	ENST00000373985.1	protein kinase, cGMP-dependent, type I 	12	1	0	1	0	0	mmu-let-7d-3p				-0.09	-0.09	N/A
CDC27	ENST00000066544.3	cell division cycle 27 	438	1	0	0	1	0	mmu-let-7d-3p				-0.08	-0.25	N/A
TYW3	ENST00000457880.2	tRNA-yW synthesizing protein 3 homolog (S. cerevisiae) 	140	1	0	0	1	0	mmu-let-7d-3p				-0.08	-0.35	N/A
RAB5B	ENST00000553116.1	RAB5B, member RAS oncogene family 	14	1	0	0	1	0	mmu-let-7d-3p				-0.08	-0.23	N/A
PNMA1	ENST00000316836.3	paraneoplastic Ma antigen 1 	70	1	0	0	1	1	mmu-let-7d-3p				-0.08	-0.48	N/A
EML1	ENST00000262233.6	echinoderm microtubule associated protein like 1 	371	1	0	1	0	0	mmu-let-7d-3p				-0.08	-0.13	N/A
UBR1	ENST00000382177.2	ubiquitin protein ligase E3 component n-recognin 1 	11	1	0	0	1	0	mmu-let-7d-3p				-0.08	-0.17	N/A
FAM104A	ENST00000581110.1	family with sequence similarity 104, member A 	2724	1	0	1	0	0	mmu-let-7d-3p				-0.08	-0.32	N/A
CARF	ENST00000402905.3	calcium responsive transcription factor 	27	1	0	1	0	0	mmu-let-7d-3p				-0.07	-0.26	N/A
RNF152	ENST00000312828.3	ring finger protein 152 	57	1	0	0	1	0	mmu-let-7d-3p				-0.07	-0.16	N/A
SV2C	ENST00000502798.2	synaptic vesicle glycoprotein 2C 	30	1	0	1	0	0	mmu-let-7d-3p				-0.07	-0.09	N/A
WDR26	ENST00000414423.2	WD repeat domain 26 	1229	1	0	1	0	0	mmu-let-7d-3p				-0.07	-0.25	N/A
PRDM6	ENST00000407847.4	PR domain containing 6 	69	1	0	1	0	0	mmu-let-7d-3p				-0.07	-0.08	N/A
ADD2	ENST00000264436.4	adducin 2 (beta) 	59	1	1	0	0	0	mmu-let-7d-3p				-0.07	-0.15	N/A
KLHL12	ENST00000367259.1	kelch-like family member 12 	24	1	0	1	0	0	mmu-let-7d-3p				-0.07	-0.19	N/A
MED12L	ENST00000474524.1	mediator complex subunit 12-like 	30	1	0	0	1	0	mmu-let-7d-3p				-0.06	-0.17	N/A
ZFHX4	ENST00000521891.2	zinc finger homeobox 4 	194	1	0	1	0	0	mmu-let-7d-3p				-0.06	-0.07	N/A
STEAP4	ENST00000380079.4	STEAP family member 4 	23	1	0	1	0	0	mmu-let-7d-3p				-0.06	-0.31	N/A
BSN	ENST00000296452.4	bassoon presynaptic cytomatrix protein 	31	1	0	0	1	0	mmu-let-7d-3p				-0.06	-0.06	N/A
MRE11A	ENST00000323929.3	MRE11 meiotic recombination 11 homolog A (S. cerevisiae) 	199	1	0	1	0	0	mmu-let-7d-3p				-0.06	-0.18	N/A
KLHL4	ENST00000373119.4	kelch-like family member 4 	58	1	0	0	1	0	mmu-let-7d-3p				-0.06	-0.27	N/A
KIAA1244	ENST00000251691.4	KIAA1244 	169	1	0	1	0	0	mmu-let-7d-3p				-0.05	-0.07	N/A
N4BP2L2	ENST00000267068.3	NEDD4 binding protein 2-like 2 	74	1	0	1	0	0	mmu-let-7d-3p				-0.05	-0.20	N/A
ZNF394	ENST00000426306.2	zinc finger protein 394 	77	1	0	0	1	0	mmu-let-7d-3p				-0.05	-0.30	N/A
CCDC77	ENST00000239830.4	coiled-coil domain containing 77 	8	1	0	1	0	0	mmu-let-7d-3p				-0.05	-0.27	N/A
C15orf40	ENST00000304177.5	chromosome 15 open reading frame 40 	133	1	0	0	1	0	mmu-let-7d-3p				-0.05	-0.45	N/A
CDK19	ENST00000368911.3	cyclin-dependent kinase 19 	51	1	0	1	0	0	mmu-let-7d-3p				-0.05	-0.08	N/A
SMURF2	ENST00000262435.9	SMAD specific E3 ubiquitin protein ligase 2 	978	1	1	0	0	0	mmu-let-7d-3p				-0.04	-0.40	N/A
EFHC1	ENST00000371068.5	EF-hand domain (C-terminal) containing 1 	61	1	0	1	0	0	mmu-let-7d-3p				-0.04	-0.26	N/A
VTA1	ENST00000367630.4	vesicle (multivesicular body) trafficking 1 	1424	1	0	1	0	0	mmu-let-7d-3p				-0.04	-0.30	N/A
SLMAP	ENST00000295951.3	sarcolemma associated protein 	208	1	0	1	0	0	mmu-let-7d-3p				-0.04	-0.16	N/A
TSPAN2	ENST00000369516.2	tetraspanin 2 	43	1	0	0	1	0	mmu-let-7d-3p				-0.04	-0.24	N/A
ZNF567	ENST00000536254.2	zinc finger protein 567 	1031	1	0	1	0	0	mmu-let-7d-3p				-0.04	-0.35	N/A
SIKE1	ENST00000369528.5	suppressor of IKBKE 1 	281	1	1	0	0	0	mmu-let-7d-3p				-0.03	-0.42	N/A
CUL4B	ENST00000371322.5	cullin 4B 	150	1	0	1	0	0	mmu-let-7d-3p				-0.03	-0.34	N/A
GRIN2B	ENST00000609686.1	glutamate receptor, ionotropic, N-methyl D-aspartate 2B 	5	1	1	0	0	0	mmu-let-7d-3p				-0.03	-0.03	N/A
ERCC6	ENST00000355832.5	excision repair cross-complementing rodent repair deficiency, complementation group 6 	93	1	0	1	0	1	mmu-let-7d-3p				-0.03	-0.18	N/A
IL17RA	ENST00000319363.6	interleukin 17 receptor A 	685	1	0	1	0	0	mmu-let-7d-3p				-0.03	-0.20	N/A
BHMT2	ENST00000255192.3	betaine--homocysteine S-methyltransferase 2 	297	1	0	0	1	0	mmu-let-7d-3p				-0.03	-0.25	N/A
POU2F1	ENST00000367866.2	POU class 2 homeobox 1 	83	1	0	1	0	0	mmu-let-7d-3p				-0.03	-0.03	N/A
ACPL2	ENST00000286353.4	acid phosphatase-like 2 	72	1	1	0	0	0	mmu-let-7d-3p				-0.02	-0.40	N/A
OBFC1	ENST00000224950.3	oligonucleotide/oligosaccharide-binding fold containing 1 	184	1	0	1	0	1	mmu-let-7d-3p				-0.02	-0.28	N/A
PPIP5K2	ENST00000321521.9	diphosphoinositol pentakisphosphate kinase 2 	203	2	1	1	0	0	mmu-let-7d-3p				-0.02	-0.42	N/A
NAA50	ENST00000240922.3	N(alpha)-acetyltransferase 50, NatE catalytic subunit 	260	1	0	0	1	0	mmu-let-7d-3p				-0.02	-0.33	N/A
ZDHHC21	ENST00000380916.4	zinc finger, DHHC-type containing 21 	196	1	0	0	1	0	mmu-let-7d-3p				-0.02	-0.18	N/A
BOC	ENST00000485230.1	BOC cell adhesion associated, oncogene regulated 	159	1	1	0	0	0	mmu-let-7d-3p				-0.02	-0.74	N/A
GCA	ENST00000437150.2	grancalcin, EF-hand calcium binding protein 	177	1	0	1	0	0	mmu-let-7d-3p				-0.02	-0.33	N/A
AGPS	ENST00000264167.4	alkylglycerone phosphate synthase 	1610	1	0	0	1	0	mmu-let-7d-3p				-0.02	-0.23	N/A
C17orf85	ENST00000158149.3	chromosome 17 open reading frame 85 	718	1	1	0	0	0	mmu-let-7d-3p				-0.02	-0.40	N/A
ASCC1	ENST00000342444.4	activating signal cointegrator 1 complex subunit 1 	293	1	1	0	0	0	mmu-let-7d-3p				-0.02	-0.50	N/A
P4HA2	ENST00000401867.1	prolyl 4-hydroxylase, alpha polypeptide II 	1077	1	0	1	0	0	mmu-let-7d-3p				-0.02	-0.29	N/A
C6orf62	ENST00000378119.4	chromosome 6 open reading frame 62 	300	1	1	0	0	0	mmu-let-7d-3p				-0.01	-0.58	N/A
ERCC6L	ENST00000373657.1	excision repair cross-complementing rodent repair deficiency, complementation group 6-like 	82	1	0	1	0	0	mmu-let-7d-3p				-0.01	-0.20	N/A
SZT2	ENST00000562955.1	seizure threshold 2 homolog (mouse) 	123	1	1	0	0	0	mmu-let-7d-3p				-0.01	-0.17	N/A
BAMBI	ENST00000375533.3	BMP and activin membrane-bound inhibitor 	515	1	0	0	1	0	mmu-let-7d-3p				-0.01	-0.26	N/A
GFRA1	ENST00000439649.3	GDNF family receptor alpha 1 	69	1	0	0	1	0	mmu-let-7d-3p				-0.01	-0.15	N/A
TRIM24	ENST00000343526.4	tripartite motif containing 24 	182	1	0	1	0	0	mmu-let-7d-3p				-0.01	-0.12	N/A
U2SURP	ENST00000397933.2	U2 snRNP-associated SURP domain containing 	1353	1	0	1	0	0	mmu-let-7d-3p				-0.01	-0.27	N/A
UBE2N	ENST00000550657.1	ubiquitin-conjugating enzyme E2N 	321	1	0	1	0	1	mmu-let-7d-3p				-0.01	-0.44	N/A
GDAP2	ENST00000369443.5	ganglioside induced differentiation associated protein 2 	656	2	1	0	1	0	mmu-let-7d-3p				-0.01	-0.46	N/A
ZCCHC11	ENST00000257177.4	zinc finger, CCHC domain containing 11 	97	1	0	0	1	0	mmu-let-7d-3p				-0.01	-0.18	N/A
EMC2	ENST00000220853.3	ER membrane protein complex subunit 2 	756	1	0	1	0	0	mmu-let-7d-3p				-0.01	-0.33	N/A
MRPL46	ENST00000312475.4	mitochondrial ribosomal protein L46 	95	1	0	1	0	0	mmu-let-7d-3p				-0.01	-0.26	N/A
PRR24	ENST00000552360.2	proline rich 24 	282	1	0	1	0	0	mmu-let-7d-3p				-0.01	-0.23	N/A
KIAA0020	ENST00000397885.2	KIAA0020 	78	1	0	0	1	0	mmu-let-7d-3p				-0.01	-0.24	N/A
LPHN2	ENST00000370715.1	latrophilin 2 	407	1	0	0	1	0	mmu-let-7d-3p				-0.01	-0.21	N/A
FAM83D	ENST00000217429.4	family with sequence similarity 83, member D 	600	1	0	1	0	0	mmu-let-7d-3p				-0.01	-0.32	N/A
SLIT2	ENST00000504154.1	slit homolog 2 (Drosophila) 	579	1	0	0	1	0	mmu-let-7d-3p				-0.01	-0.21	N/A
CAST	ENST00000395812.2	calpastatin 	4674	1	0	0	1	0	mmu-let-7d-3p				-0.01	-0.28	N/A
CFL2	ENST00000341223.3	cofilin 2 (muscle) 	902	1	0	1	0	0	mmu-let-7d-3p				-0.01	-0.34	N/A
RP1-170O19.20	ENST00000470747.4	Uncharacterized protein  	151	1	0	1	0	0	mmu-let-7d-3p				0	-0.27	N/A
HOXA9	ENST00000396345.1	homeobox A9 	151	1	0	1	0	0	mmu-let-7d-3p				0	-0.26	N/A
MON1B	ENST00000248248.3	MON1 secretory trafficking family member B 	910	1	0	0	1	0	mmu-let-7d-3p				0	-0.15	N/A
COX7C	ENST00000509578.1	cytochrome c oxidase subunit VIIc 	387	1	0	1	0	0	mmu-let-7d-3p				0	-0.37	N/A
C16orf80	ENST00000262498.3	chromosome 16 open reading frame 80 	1562	1	0	1	0	0	mmu-let-7d-3p				0	-0.41	N/A
DNAJC10	ENST00000264065.7	DnaJ (Hsp40) homolog, subfamily C, member 10 	709	1	1	0	0	0	mmu-let-7d-3p				0	-0.28	N/A
CDC73	ENST00000367435.3	cell division cycle 73 	579	1	0	1	0	0	mmu-let-7d-3p				0	-0.18	N/A
RNF11	ENST00000242719.3	ring finger protein 11 	5881	1	0	1	0	0	mmu-let-7d-3p				0	-0.28	N/A
RPP30	ENST00000413330.1	ribonuclease P/MRP 30kDa subunit 	494	1	0	0	1	0	mmu-let-7d-3p				0	-0.24	N/A
NNT	ENST00000264663.5	nicotinamide nucleotide transhydrogenase 	2771	1	0	1	0	0	mmu-let-7d-3p				0	-0.20	N/A
CYP2C19	ENST00000371321.3	cytochrome P450, family 2, subfamily C, polypeptide 19 	5	1	1	0	0	0	mmu-let-7d-3p				0	-0.82	N/A
LDHA	ENST00000227157.4	lactate dehydrogenase A 	375	1	1	0	0	0	mmu-let-7d-3p				0	-0.50	N/A
HLA-DOB	ENST00000438763.2	major histocompatibility complex, class II, DO beta 	5	1	0	0	1	0	mmu-let-7d-3p				0	-0.38	N/A
GPR65	ENST00000267549.3	G protein-coupled receptor 65 	5	1	0	0	1	0	mmu-let-7d-3p				0	-0.33	N/A
BROX	ENST00000537020.1	BRO1 domain and CAAX motif containing 	149	1	0	1	0	0	mmu-let-7d-3p				0	-0.12	N/A
AC106017.1	ENST00000436914.1	Uncharacterized protein  	5	1	0	0	1	0	mmu-let-7d-3p				0	-0.29	N/A
WIZ	ENST00000389282.4	widely interspaced zinc finger motifs 	1321	1	0	1	0	0	mmu-let-7d-3p				0	-0.14	N/A
TMEM74	ENST00000297459.3	transmembrane protein 74 	5	1	0	0	1	0	mmu-let-7d-3p				0	-0.28	N/A
OLFM3	ENST00000370103.4	olfactomedin 3 	8	1	1	0	0	0	mmu-let-7d-3p				0	-0.45	N/A
ITGA6	ENST00000375221.2	integrin, alpha 6 	1328	1	0	1	0	0	mmu-let-7d-3p				0	-0.27	N/A
C14orf23	ENST00000399387.4	chromosome 14 open reading frame 23 	5	1	0	1	0	0	mmu-let-7d-3p				0	-0.22	N/A
RASAL2	ENST00000448150.3	RAS protein activator like 2 	950	1	0	1	0	0	mmu-let-7d-3p				0	-0.02	N/A
TRNP1	ENST00000522111.2	TMF1-regulated nuclear protein 1 	4046	1	0	1	0	0	mmu-let-7d-3p				0	-0.14	N/A
ITGB1BP1	ENST00000360635.3	integrin beta 1 binding protein 1 	14310	1	0	0	1	0	mmu-let-7d-3p				0	-0.30	N/A
CASK	ENST00000421587.2	calcium/calmodulin-dependent serine protein kinase (MAGUK family) 	892	1*	0	0	0	0	mmu-let-7d-3p				0	0	N/A
TAOK1	ENST00000261716.3	TAO kinase 1 	164	1	0	1	0	0	mmu-let-7d-3p				0	-0.18	N/A
AKAP11	ENST00000025301.2	A kinase (PRKA) anchor protein 11 	71	1*	0	0	0	0	mmu-let-7d-3p				0	0	N/A
CYFIP1	ENST00000313077.7	cytoplasmic FMR1 interacting protein 1 	40959	1	0	0	1	0	mmu-let-7d-3p				0	-0.23	N/A
CLDN11	ENST00000064724.3	claudin 11 	1116	1	0	0	1	0	mmu-let-7d-3p				0	-0.30	N/A
SPTLC3	ENST00000399002.2	serine palmitoyltransferase, long chain base subunit 3 	24	1	0	1	0	0	mmu-let-7d-3p				0	-0.10	N/A
NUP37	ENST00000552283.1	nucleoporin 37kDa 	458	1	0	0	1	0	mmu-let-7d-3p				0	-0.25	N/A
MCTS1	ENST00000371317.5	malignant T cell amplified sequence 1 	6611	1	0	1	0	0	mmu-let-7d-3p				0	-0.24	N/A
MRPL51	ENST00000229238.3	mitochondrial ribosomal protein L51 	3123	1	0	0	1	0	mmu-let-7d-3p				0	-0.36	N/A
SRSF1	ENST00000258962.4	serine/arginine-rich splicing factor 1 	1430	1	0	0	1	0	mmu-let-7d-3p				0	-0.26	N/A
NAA38	ENST00000249299.2	N(alpha)-acetyltransferase 38, NatC auxiliary subunit 	458	1	0	1	0	0	mmu-let-7d-3p				0	-0.34	N/A
ZNF516	ENST00000443185.2	zinc finger protein 516 	311	1*	0	0	0	0	mmu-let-7d-3p				0	0	N/A
