Ortholog of target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
USP38	ENST00000307017.4	ubiquitin specific peptidase 38 	419	1	0	1	0	0	0	0	0	0	mmu-let-7g-5p				-0.47	-0.49	> 0.99	2005, 2007, 2009, 2011
FRMD4B	ENST00000398540.3	FERM domain containing 4B 	12	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.47	-0.47	0.96	2009, 2011
PLA2G3	ENST00000215885.3	phospholipase A2, group III 	5	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.47	-0.47	0.93	2009, 2011
SAMD12	ENST00000409003.4	sterile alpha motif domain containing 12 	57	1	0	1	0	1	1	0	0	2	mmu-let-7b-5p				-0.47	-0.47	0.91	2011
NHLRC3	ENST00000470258.1	NHL repeat containing 3 	49	1	1	0	0	1	0	1	0	0	mmu-let-7i-5p				-0.47	-0.72	0.92	2007, 2009, 2011
PDPK1	ENST00000441549.3	3-phosphoinositide dependent protein kinase-1 	104	1	0	1	0	1	0	0	1	2	mmu-let-7d-5p				-0.47	-0.50	0.94	2009, 2011
C1orf233	ENST00000422725.1	chromosome 1 open reading frame 233 	210	1	0	1	0	1	0	1	0	0	mmu-let-7i-5p				-0.47	-0.47	0.53	NULL
XKR8	ENST00000373884.5	XK, Kell blood group complex subunit-related family, member 8 	7	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.47	-0.62	0.96	2007, 2009, 2011
PLEKHG7	ENST00000344636.3	pleckstrin homology domain containing, family G (with RhoGef domain) member 7 	5	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.47	-0.47	0.88	2009, 2011
RDH10	ENST00000240285.5	retinol dehydrogenase 10 (all-trans) 	640	1	0	1	0	0	0	0	0	0	mmu-let-7f-5p				-0.47	-0.47	> 0.99	2005, 2007, 2009, 2011
BEGAIN	ENST00000355173.2	brain-enriched guanylate kinase-associated 	90	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.47	-0.47	0.96	2005, 2007, 2009, 2011
NYNRIN	ENST00000382554.3	NYN domain and retroviral integrase containing 	1928	1	1	0	0	0	0	0	0	1	mmu-let-7d-5p				-0.47	-0.47	0.96	2007, 2009, 2011
LALBA	ENST00000549817.1	lactalbumin, alpha- 	5	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.46	-0.46	0.51	2009, 2011
EEF2K	ENST00000263026.5	eukaryotic elongation factor-2 kinase 	115	1	0	1	0	1	0	0	1	0	mmu-let-7d-5p				-0.46	-0.48	> 0.99	2007, 2009, 2011
COL27A1	ENST00000356083.3	collagen, type XXVII, alpha 1 	620	2	0	1	1	0	0	0	0	0	mmu-let-7d-5p				-0.46	-0.46	> 0.99	NULL
C20orf194	ENST00000453730.2	chromosome 20 open reading frame 194 	1083	2	0	0	2	0	0	0	0	0	mmu-let-7d-5p				-0.46	-0.46	> 0.99	2009, 2011
ABCB9	ENST00000280560.8	ATP-binding cassette, sub-family B (MDR/TAP), member 9 	13	1	0	1	0	0	0	0	0	0	mmu-miR-98-5p				-0.46	-0.46	0.94	2005, 2007, 2009, 2011
PPP1R15B	ENST00000367188.4	protein phosphatase 1, regulatory subunit 15B 	2154	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.46	-0.53	0.96	2005, 2007, 2009, 2011
AC068987.1	ENST00000599343.1	HCG1997999; cDNA FLJ33996 fis, clone DFNES2008881  	44	1	1	0	0	0	0	0	0	0	mmu-miR-98-5p				-0.46	-0.46	0.96	NULL
TRIM41	ENST00000315073.5	tripartite motif containing 41 	494	1	0	1	0	0	0	0	0	0	mmu-let-7f-5p				-0.45	-0.45	0.98	2011
RSPO2	ENST00000517939.1	R-spondin 2 	5	1	0	1	0	0	0	0	0	0	mmu-let-7d-5p				-0.45	-0.45	0.78	2007, 2009, 2011
TBKBP1	ENST00000361722.3	TBK1 binding protein 1 	173	1	1	0	0	0	0	0	0	1	mmu-let-7d-5p				-0.45	-0.45	0.95	2007, 2009, 2011
LIMK2	ENST00000331728.4	LIM domain kinase 2 	233	2	0	2	0	0	0	0	0	0	mmu-let-7g-5p				-0.45	-0.61	0.95	2009, 2011
STK40	ENST00000359297.2	serine/threonine kinase 40 	214	1	0	1	0	1	0	1	0	0	mmu-let-7a-5p				-0.45	-0.45	> 0.99	2007, 2009, 2011
DUSP22	ENST00000419235.2	dual specificity phosphatase 22 	1330	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.45	-0.45	0.96	NULL
ATPAF1	ENST00000576409.1	ATP synthase mitochondrial F1 complex assembly factor 1 	1637	1	1	0	0	0	0	0	0	1	mmu-let-7d-5p				-0.45	-0.51	0.94	2011
CCNJ	ENST00000265992.5	cyclin J 	5	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.45	-0.45	0.95	2005, 2007, 2009, 2011
GLRX	ENST00000379979.4	glutaredoxin (thioltransferase) 	79	1	0	1	0	0	0	0	0	0	mmu-let-7a-5p				-0.45	-0.45	0.77	2009, 2011
POU2F1	ENST00000367866.2	POU class 2 homeobox 1 	83	2	0	0	2	0	0	0	0	3	mmu-let-7d-5p				-0.45	-0.48	0.98	2011
PARM1	ENST00000513238.1	prostate androgen-regulated mucin-like protein 1 	161	1	1	0	0	2	0	0	2	0	mmu-let-7d-5p				-0.45	-0.72	0.94	2009, 2011
ONECUT1	ENST00000560699.2	one cut homeobox 1 	10	3	1	0	2	0	0	0	0	2	mmu-let-7d-5p				-0.45	-1.04	> 0.99	NULL
GPR157	ENST00000377411.4	G protein-coupled receptor 157 	48	1	0	1	0	0	0	0	0	0	mmu-let-7d-5p				-0.45	-0.45	> 0.99	NULL
LIMD2	ENST00000259006.3	LIM domain containing 2 	90	1	0	1	0	0	0	0	0	0	mmu-let-7g-5p				-0.44	-0.44	0.97	2007, 2009, 2011
USP44	ENST00000552440.1	ubiquitin specific peptidase 44 	29	2	0	0	2	0	0	0	0	1	mmu-let-7d-5p				-0.44	-0.55	> 0.99	2009, 2011
PEG10	ENST00000482108.1	paternally expressed 10 	8778	1	0	0	1	1	0	0	1	1	mmu-let-7i-5p				-0.44	-0.44	0.87	2009, 2011
CASP3	ENST00000393585.2	caspase 3, apoptosis-related cysteine peptidase 	43	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.44	-0.44	0.96	2005, 2007, 2009, 2011
CNTRL	ENST00000373850.1	centriolin 	9	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.44	-0.44	0.40	2009, 2011
RDX	ENST00000343115.4	radixin 	44	1	1	0	0	0	0	0	0	0	mmu-let-7g-5p				-0.44	-0.44	0.96	2005, 2007, 2009, 2011
ERO1L	ENST00000395686.3	ERO1-like (S. cerevisiae) 	1333	2	0	1	1	0	0	0	0	0	mmu-let-7d-5p				-0.44	-0.60	> 0.99	2009, 2011
BEST2	ENST00000553030.1	bestrophin 2 	5	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.44	-0.44	< 0.1	NULL
RGS16	ENST00000367558.5	regulator of G-protein signaling 16 	7	1	0	1	0	1	0	0	1	0	mmu-let-7d-5p				-0.44	-0.58	0.98	2005, 2007, 2009, 2011
PARD6B	ENST00000371610.2	par-6 family cell polarity regulator beta 	277	1	0	1	0	0	0	0	0	0	mmu-let-7b-5p				-0.44	-0.45	> 0.99	2007, 2009, 2011
CYP19A1	ENST00000396402.1	cytochrome P450, family 19, subfamily A, polypeptide 1 	5	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.44	-0.44	0.87	2005, 2007, 2009, 2011
FAM214B	ENST00000378566.1	family with sequence similarity 214, member B 	8	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.43	-0.43	0.92	2005, 2007, 2009, 2011
RIOK3	ENST00000339486.3	RIO kinase 3 	757	1	0	1	0	0	0	0	0	0	mmu-let-7f-5p				-0.43	-0.46	> 0.99	2005, 2007, 2009, 2011
SMARCAD1	ENST00000354268.4	SWI/SNF-related, matrix-associated actin-dependent regulator of chromatin, subfamily a, containing DEAD/H box 1 	371	2	0	2	0	0	0	0	0	0	mmu-let-7f-5p				-0.43	-0.60	> 0.99	2005, 2007, 2009, 2011
ZC3H3	ENST00000262577.5	zinc finger CCCH-type containing 3 	35	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.43	-0.43	0.95	2007, 2009, 2011
PDE12	ENST00000311180.8	phosphodiesterase 12 	326	1	1	0	0	1	0	0	1	0	mmu-let-7d-5p				-0.43	-0.65	0.95	2007, 2009, 2011
FAM178A	ENST00000238961.4	family with sequence similarity 178, member A 	130	2	0	2	0	0	0	0	0	0	mmu-miR-98-5p				-0.43	-0.44	0.92	2003, 2005, 2007, 2009, 2011
THRA	ENST00000450525.2	thyroid hormone receptor, alpha 	547	2	0	1	1	0	0	0	0	0	mmu-let-7d-5p				-0.43	-0.43	0.95	NULL
MARVELD2	ENST00000325631.5	MARVEL domain containing 2 	227	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.43	-0.44	0.37	NULL
TRAM2	ENST00000182527.3	translocation associated membrane protein 2 	2774	1	1	0	0	1	0	0	1	1	mmu-let-7d-5p				-0.43	-0.43	0.96	2009, 2011
EIF4G2	ENST00000526148.1	eukaryotic translation initiation factor 4 gamma, 2 	61971	1	0	1	0	0	0	0	0	0	mmu-let-7d-5p				-0.43	-0.43	0.88	2005, 2007, 2009, 2011
DPP3	ENST00000360510.2	dipeptidyl-peptidase 3 	189	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.43	-0.43	0.84	2005, 2007, 2009, 2011
CALM1	ENST00000356978.4	calmodulin 1 (phosphorylase kinase, delta) 	4046	1	0	0	1	0	0	0	0	2	mmu-let-7d-5p				-0.43	-0.46	0.91	2005, 2007, 2009, 2011
SLC25A27	ENST00000371347.5	solute carrier family 25, member 27 	85	1	0	1	0	0	0	0	0	0	mmu-let-7f-5p				-0.42	-0.42	0.94	2005, 2007, 2009, 2011
SLC5A9	ENST00000236495.5	solute carrier family 5 (sodium/sugar cotransporter), member 9 	291	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.42	-0.42	< 0.1	2009, 2011
PPARGC1B	ENST00000309241.5	peroxisome proliferator-activated receptor gamma, coactivator 1 beta 	12	2	0	0	2	1	0	0	1	0	mmu-let-7d-5p				-0.42	-0.44	> 0.99	2005, 2007, 2009, 2011
ONECUT2	ENST00000491143.2	one cut homeobox 2 	847	3	1	0	2	0	0	0	0	1	mmu-let-7d-5p				-0.42	-0.45	> 0.99	2007, 2009, 2011
ERCC4	ENST00000311895.7	excision repair cross-complementing rodent repair deficiency, complementation group 4 	261	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.42	-0.42	0.94	2011
PRDM5	ENST00000515109.1	PR domain containing 5 	22	1	1	0	0	0	0	0	0	0	mmu-let-7a-5p				-0.42	-0.42	< 0.1	NULL
BTBD9	ENST00000314100.6	BTB (POZ) domain containing 9 	65	1	0	1	0	0	0	0	0	0	mmu-let-7f-5p				-0.42	-0.43	> 0.99	2009, 2011
XKR4	ENST00000327381.6	XK, Kell blood group complex subunit-related family, member 4 	5	2	2	0	0	1	0	0	1	3	mmu-let-7d-5p				-0.42	-0.42	> 0.99	NULL
IGF2BP3	ENST00000258729.3	insulin-like growth factor 2 mRNA binding protein 3 	30	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.42	-0.42	0.95	2007, 2009, 2011
TMEM231	ENST00000258173.6	transmembrane protein 231 	243	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.42	-0.42	0.90	2009, 2011
PRKAR2A	ENST00000265563.8	protein kinase, cAMP-dependent, regulatory, type II, alpha 	583	1	1	0	0	0	0	0	0	1	mmu-let-7d-5p				-0.42	-0.43	0.96	NULL
FGF23	ENST00000237837.1	fibroblast growth factor 23 	5	1	0	1	0	0	0	0	0	1	mmu-let-7i-5p				-0.42	-0.42	0.87	2009, 2011
LOR	ENST00000368742.3	loricrin 	5	1	0	1	0	0	0	0	0	0	mmu-let-7f-5p				-0.42	-0.42	0.53	2009, 2011
TET3	ENST00000409262.3	tet methylcytosine dioxygenase 3 	1437	3	1	0	2	0	0	0	0	0	mmu-let-7d-5p				-0.42	-0.42	> 0.99	2009, 2011
CTNS	ENST00000046640.3	cystinosin, lysosomal cystine transporter 	308	1	0	1	0	0	0	0	0	2	mmu-let-7d-5p				-0.42	-0.42	0.83	2005, 2007, 2009, 2011
FAM118A	ENST00000216214.3	family with sequence similarity 118, member A 	202	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.42	-0.45	0.96	2007, 2009, 2011
HOXA9	ENST00000396345.1	homeobox A9 	151	1	0	0	1	1	0	0	1	0	mmu-let-7d-5p				-0.41	-0.64	0.83	2005, 2007, 2009, 2011
AMOT	ENST00000304758.1	angiomotin 	515	1	0	1	0	1	0	0	1	0	mmu-let-7f-5p				-0.41	-0.42	0.56	2011
VANGL2	ENST00000368061.2	VANGL planar cell polarity protein 2 	560	2	0	1	1	0	0	0	0	0	mmu-let-7d-5p				-0.41	-0.41	0.99	2007, 2009, 2011
ABCC10	ENST00000372530.4	ATP-binding cassette, sub-family C (CFTR/MRP), member 10 	10	1	0	1	0	0	0	0	0	0	mmu-miR-98-5p				-0.41	-0.41	0.49	2005, 2007, 2011
LMLN	ENST00000330198.4	leishmanolysin-like (metallopeptidase M8 family) 	18	2	0	1	1	0	0	0	0	1	mmu-let-7d-5p				-0.41	-0.45	> 0.99	2011
RNF7	ENST00000273480.3	ring finger protein 7 	377	1	0	1	0	0	0	0	0	0	mmu-let-7d-5p				-0.41	-0.45	0.92	2005, 2007, 2009, 2011
C19orf47	ENST00000582783.1	chromosome 19 open reading frame 47 	94	1	0	1	0	0	0	0	0	0	mmu-let-7c-5p				-0.41	-0.41	0.53	2007
HOXC11	ENST00000546378.1	homeobox C11 	80	1	0	1	0	0	0	0	0	1	mmu-let-7g-5p				-0.41	-0.41	0.89	2005, 2007, 2009, 2011
KLHL23	ENST00000392647.2	kelch-like family member 23 	791	1	0	1	0	0	0	0	0	0	mmu-let-7a-5p				-0.41	-0.41	> 0.99	2011
OSMR	ENST00000274276.3	oncostatin M receptor 	2781	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.41	-0.41	0.96	2005, 2007, 2009, 2011
LRRC20	ENST00000355790.4	leucine rich repeat containing 20 	159	1	0	1	0	1	0	1	0	0	mmu-let-7a-5p				-0.41	-0.41	0.76	2009, 2011
SOCS1	ENST00000332029.2	suppressor of cytokine signaling 1 	190	1	0	1	0	0	0	0	0	0	mmu-let-7a-5p				-0.41	-0.41	0.51	2005, 2007
LBR	ENST00000272163.4	lamin B receptor 	1217	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.41	-0.43	0.96	2009, 2011
ZFYVE26	ENST00000347230.4	zinc finger, FYVE domain containing 26 	104	1	1	0	0	0	0	0	0	1	mmu-let-7d-5p				-0.41	-0.61	0.96	2005, 2007, 2009, 2011
TMEM110	ENST00000355083.5	transmembrane protein 110 	306	1	0	1	0	0	0	0	0	0	mmu-let-7e-5p				-0.41	-0.41	0.94	2007, 2009, 2011
TIMM17B	ENST00000465150.2	translocase of inner mitochondrial membrane 17 homolog B (yeast) 	35084	1	0	1	0	0	0	0	0	0	mmu-let-7f-5p				-0.41	-0.41	0.82	2005, 2007, 2009, 2011
LETMD1	ENST00000380123.2	LETM1 domain containing 1 	1619	1	0	1	0	0	0	0	0	0	mmu-let-7a-5p				-0.41	-0.41	0.57	2009, 2011
MARCH9	ENST00000266643.5	membrane-associated ring finger (C3HC4) 9 	328	2	1	0	1	0	0	0	0	0	mmu-let-7d-5p				-0.41	-0.81	0.98	2007, 2009, 2011
GAS7	ENST00000437099.2	growth arrest-specific 7 	186	1	1	0	0	1	0	1	0	0	mmu-let-7d-5p				-0.41	-0.53	0.97	2005, 2007, 2009, 2011
PRR18	ENST00000322583.3	proline rich 18 	15	1	0	0	1	1	0	1	0	1	mmu-let-7d-5p				-0.41	-0.45	0.79	2011
E2F6	ENST00000362009.4	E2F transcription factor 6 	70	1	1	0	0	0	0	0	0	2	mmu-let-7d-5p				-0.40	-0.52	0.96	2007, 2009, 2011
VGLL3	ENST00000398399.2	vestigial like 3 (Drosophila) 	187	1	0	0	1	1	0	0	1	0	mmu-let-7d-5p				-0.40	-0.41	0.95	2009, 2011
DPF2	ENST00000528416.1	D4, zinc and double PHD fingers family 2 	1164	1	0	1	0	0	0	0	0	0	mmu-let-7g-5p				-0.40	-0.40	> 0.99	2005, 2007, 2009, 2011
SLC12A9	ENST00000354161.3	solute carrier family 12, member 9 	228	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.40	-0.40	0.95	2009, 2011
BDP1	ENST00000380675.2	B double prime 1, subunit of RNA polymerase III transcription initiation factor IIIB 	12	1	1	0	0	0	0	0	0	1	mmu-let-7d-5p				-0.40	-0.40	< 0.1	NULL
LIPH	ENST00000296252.4	lipase, member H 	18	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.40	-0.40	0.95	2009, 2011
SLAMF6	ENST00000368059.3	SLAM family member 6 	5	1	0	1	0	0	0	0	0	0	mmu-let-7b-5p				-0.40	-0.40	0.68	2007, 2009, 2011
C15orf39	ENST00000567617.1	chromosome 15 open reading frame 39 	1023	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.40	-0.40	0.93	2011
KIAA1161	ENST00000297625.7	KIAA1161 	18	1	0	1	0	0	0	0	0	1	mmu-let-7g-5p				-0.40	-0.40	0.96	NULL
ZBTB26	ENST00000373656.3	zinc finger and BTB domain containing 26 	83	1	0	1	0	0	0	0	0	0	mmu-let-7c-5p				-0.40	-0.43	0.95	NULL
CASP5	ENST00000393139.2	caspase 5, apoptosis-related cysteine peptidase 	5	1	0	1	0	0	0	0	0	0	mmu-let-7a-5p				-0.40	-0.40	< 0.1	NULL
RGAG1	ENST00000465301.2	retrotransposon gag domain containing 1 	5	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.40	-0.40	0.87	2005, 2007, 2009, 2011
NHLRC2	ENST00000369301.3	NHL repeat containing 2 	368	1	0	0	1	1	0	1	0	1	mmu-let-7d-5p				-0.40	-0.43	0.84	2011
PITPNM3	ENST00000421306.3	PITPNM family member 3 	5	1	0	1	0	0	0	0	0	1	mmu-let-7f-5p				-0.40	-0.40	0.99	2011
IGLON5	ENST00000270642.8	IgLON family member 5 	5	1	0	0	1	0	0	0	0	1	mmu-let-7d-5p				-0.40	-0.40	0.94	2009, 2011
DUSP1	ENST00000239223.3	dual specificity phosphatase 1 	37211	1	0	0	1	0	0	0	0	0	mmu-let-7d-5p				-0.40	-0.40	0.96	NULL
TMEM194A	ENST00000379391.3	transmembrane protein 194A 	43	1	1	0	0	2	0	1	1	0	mmu-let-7g-5p				-0.40	-0.46	0.92	2009, 2011
CTDSPL2	ENST00000260327.4	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase like 2 	457	2	1	0	1	0	0	0	0	2	mmu-let-7d-5p				-0.39	-0.68	> 0.99	2007
STX17	ENST00000259400.6	syntaxin 17 	510	1	1	0	0	0	0	0	0	1	mmu-let-7d-5p				-0.39	-0.50	0.94	2005, 2007, 2009, 2011
TCTA	ENST00000273590.3	T-cell leukemia translocation altered 	204	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.39	-0.48	0.77	2009, 2011
GPR63	ENST00000229955.3	G protein-coupled receptor 63 	5	1	0	1	0	0	0	0	0	1	mmu-let-7a-5p				-0.39	-0.39	0.90	NULL
DDX26B	ENST00000370752.4	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 26B 	289	1	0	1	0	0	0	0	0	0	mmu-let-7f-5p				-0.39	-0.39	0.88	2009, 2011
GCNT4	ENST00000322348.4	glucosaminyl (N-acetyl) transferase 4, core 2 	19	1	1	0	0	0	0	0	0	2	mmu-let-7d-5p				-0.39	-0.45	0.96	2007, 2009, 2011
SASS6	ENST00000287482.5	spindle assembly 6 homolog (C. elegans) 	796	1	0	1	0	0	0	0	0	0	mmu-miR-98-5p				-0.39	-0.39	0.93	2009, 2011
RASL10A	ENST00000401450.3	RAS-like, family 10, member A 	5	1	0	1	0	1	0	1	0	0	mmu-let-7d-5p				-0.39	-0.39	< 0.1	2007
SNX5	ENST00000377759.4	sorting nexin 5 	715	1	0	0	1	0	0	0	0	0	mmu-let-7d-5p				-0.39	-0.40	0.82	2009, 2011
TGFBR3	ENST00000212355.4	transforming growth factor, beta receptor III 	245	1	1	0	0	0	0	0	0	0	mmu-let-7g-5p				-0.39	-0.39	0.96	2011
SLC5A6	ENST00000310574.3	solute carrier family 5 (sodium/multivitamin and iodide cotransporter), member 6 	1638	1	0	1	0	0	0	0	0	0	mmu-let-7a-5p				-0.39	-0.39	0.92	2007, 2009, 2011
CPEB3	ENST00000412050.4	cytoplasmic polyadenylation element binding protein 3 	48	2	0	0	2	0	0	0	0	0	mmu-let-7d-5p				-0.39	-0.39	0.98	2005, 2007, 2009, 2011
FAM184B	ENST00000265018.3	family with sequence similarity 184, member B 	22	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.39	-0.42	0.96	NULL
PRRX1	ENST00000367760.3	paired related homeobox 1 	57	1	1	0	0	0	0	0	0	0	mmu-let-7f-5p				-0.39	-0.43	0.93	2007, 2009, 2011
SLC20A1	ENST00000272542.3	solute carrier family 20 (phosphate transporter), member 1 	205	1	0	1	0	0	0	0	0	0	mmu-let-7f-5p				-0.39	-0.43	0.78	2005, 2007, 2011
FZD3	ENST00000240093.3	frizzled family receptor 3 	192	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.39	-0.43	0.96	2011
CACNB4	ENST00000539935.1	calcium channel, voltage-dependent, beta 4 subunit 	57	1	0	1	0	1	0	1	0	0	mmu-let-7a-5p				-0.39	-0.42	0.48	NULL
CLP1	ENST00000533682.1	cleavage and polyadenylation factor I subunit 1 	208	1	0	1	0	0	0	0	0	0	mmu-let-7i-5p				-0.38	-0.38	0.49	2007, 2011
NKD1	ENST00000268459.3	naked cuticle homolog 1 (Drosophila) 	26	1	0	1	0	0	0	0	0	0	mmu-let-7a-5p				-0.38	-0.38	> 0.99	2005, 2007, 2009, 2011
VSNL1	ENST00000406397.1	visinin-like 1 	89	1	0	0	1	0	0	0	0	0	mmu-let-7d-5p				-0.38	-0.38	0.96	2005, 2007, 2009, 2011
ZC3HAV1L	ENST00000275766.1	zinc finger CCCH-type, antiviral 1-like 	98	1	1	0	0	1	0	0	1	1	mmu-let-7d-5p				-0.38	-0.41	0.94	NULL
WDR37	ENST00000358220.1	WD repeat domain 37 	107	1	1	0	0	0	0	0	0	1	mmu-let-7d-5p				-0.38	-0.59	0.96	2005, 2007, 2009, 2011
UBE2G2	ENST00000345496.2	ubiquitin-conjugating enzyme E2G 2 	681	1	0	1	0	0	0	0	0	0	mmu-let-7e-5p				-0.38	-0.39	0.87	2009, 2011
STARD13	ENST00000336934.5	StAR-related lipid transfer (START) domain containing 13 	314	2	0	0	2	1	0	0	1	0	mmu-let-7d-5p				-0.38	-0.68	> 0.99	2005, 2007, 2009, 2011
ACSL6	ENST00000379264.2	acyl-CoA synthetase long-chain family member 6 	7	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.38	-0.38	0.96	2005, 2007, 2009, 2011
PPP1R16B	ENST00000299824.1	protein phosphatase 1, regulatory subunit 16B 	16	1	0	1	0	1	0	0	1	0	mmu-let-7d-5p				-0.38	-0.38	0.91	2005, 2007, 2009, 2011
PLEKHO1	ENST00000369124.4	pleckstrin homology domain containing, family O member 1 	144	2	0	1	1	0	0	0	0	0	mmu-let-7d-5p				-0.38	-0.71	> 0.99	2007, 2009, 2011
CLCN5	ENST00000376088.3	chloride channel, voltage-sensitive 5 	154	3	1	1	1	3	0	0	3	1	mmu-let-7d-5p				-0.38	-1.07	> 0.99	2007, 2009, 2011
COL14A1	ENST00000297848.3	collagen, type XIV, alpha 1 	117	1	0	1	0	1	0	1	0	1	mmu-let-7i-5p				-0.38	-0.42	0.49	2007, 2011
CDV3	ENST00000420115.2	CDV3 homolog (mouse) 	523	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.38	-0.51	0.95	2007, 2009, 2011
DCAF15	ENST00000254337.6	DDB1 and CUL4 associated factor 15 	304	1	0	1	0	0	0	0	0	0	mmu-let-7a-5p				-0.38	-0.38	0.98	2007, 2009, 2011
SWT1	ENST00000367500.4	SWT1 RNA endoribonuclease homolog (S. cerevisiae) 	104	1	0	1	0	0	0	0	0	0	mmu-let-7f-5p				-0.38	-0.38	0.56	2007, 2009, 2011
ABHD17C	ENST00000258884.4	abhydrolase domain containing 17C 	406	1	0	0	1	0	0	0	0	0	mmu-let-7d-5p				-0.38	-0.38	0.75	2011
SNN	ENST00000329565.5	stannin 	663	1	0	1	0	0	0	0	0	0	mmu-let-7b-5p				-0.38	-0.40	0.74	2005, 2007, 2009, 2011
TXN2	ENST00000216185.2	thioredoxin 2 	3060	1	0	1	0	0	0	0	0	0	mmu-let-7d-5p				-0.37	-0.38	0.42	2011
ELOVL4	ENST00000369816.4	ELOVL fatty acid elongase 4 	129	1	0	1	0	0	0	0	0	0	mmu-let-7c-5p				-0.37	-0.38	> 0.99	2005, 2007, 2009, 2011
AC140061.12	ENST00000598429.1	Uncharacterized protein  	11	1	0	0	1	0	0	0	0	0	mmu-let-7d-5p				-0.37	-0.37	0.95	NULL
AHCTF1	ENST00000366508.1	AT hook containing transcription factor 1 	5	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.37	-0.37	0.88	2007, 2009, 2011
DNAJC1	ENST00000376980.3	DnaJ (Hsp40) homolog, subfamily C, member 1 	5	1	0	0	1	0	0	0	0	0	mmu-let-7d-5p				-0.37	-0.37	0.86	2005, 2007, 2009, 2011
NAT8L	ENST00000331662.3	N-acetyltransferase 8-like (GCN5-related, putative) 	220	1	0	1	0	0	0	0	0	1	mmu-let-7f-5p				-0.37	-0.40	0.98	2011
TMEM178B	ENST00000565468.1	transmembrane protein 178B 	129	1	0	0	1	2	0	1	1	1	mmu-let-7d-5p				-0.37	-0.37	0.88	2011
DCUN1D2	ENST00000332592.3	DCN1, defective in cullin neddylation 1, domain containing 2 	17	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.37	-0.41	0.79	2007, 2009, 2011
AMER3	ENST00000423981.1	APC membrane recruitment protein 3 	5	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.37	-0.37	0.83	2009, 2011
GDF6	ENST00000287020.5	growth differentiation factor 6 	14	1	1	0	0	1	0	1	0	0	mmu-let-7i-5p				-0.37	-0.63	0.96	2005, 2007, 2009, 2011
MED6	ENST00000440435.2	mediator complex subunit 6 	776	1	0	0	1	0	0	0	0	0	mmu-let-7d-5p				-0.37	-0.37	0.93	2005, 2007, 2009, 2011
NPEPL1	ENST00000356091.6	aminopeptidase-like 1 	134	1	0	0	1	0	0	0	0	0	mmu-let-7b-5p				-0.37	-0.37	0.96	2005, 2007, 2009, 2011
FAM84B	ENST00000304916.3	family with sequence similarity 84, member B 	45	1	0	1	0	1	0	0	1	1	mmu-let-7f-5p				-0.37	-0.37	0.49	2007, 2011
