Ortholog of target gene	Representative transcript	Gene name	3P-seq tags + 5	Total sites	8mer sites	7mer-m8 sites	7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT
KCNJ9	ENST00000368088.3	potassium inwardly-rectifying channel, subfamily J, member 9 	5	1	0	0	1	0	mmu-miR-483-5p				-0.25	-0.25	N/A
EPSTI1	ENST00000313624.7	epithelial stromal interaction 1 (breast) 	11	1	0	1	0	0	mmu-miR-483-5p				-0.25	-0.25	N/A
EDN2	ENST00000372587.4	endothelin 2 	5	1	0	1	0	0	mmu-miR-483-5p				-0.25	-0.25	N/A
SUSD1	ENST00000374263.3	sushi domain containing 1 	68	1	0	1	0	0	mmu-miR-483-5p				-0.25	-0.25	N/A
AVL9	ENST00000318709.4	AVL9 homolog (S. cerevisiase) 	246	1	0	1	0	0	mmu-miR-483-5p				-0.25	-0.25	N/A
ENPP3	ENST00000358229.5	ectonucleotide pyrophosphatase/phosphodiesterase 3 	37	1	0	1	0	0	mmu-miR-483-5p				-0.25	-0.25	N/A
STK35	ENST00000381482.3	serine/threonine kinase 35 	263	1	0	1	0	0	mmu-miR-483-5p				-0.25	-0.27	N/A
TXNDC16	ENST00000281741.4	thioredoxin domain containing 16 	508	1	0	0	1	0	mmu-miR-483-5p				-0.25	-0.25	N/A
PALM	ENST00000338448.5	paralemmin 	341	1	0	1	0	0	mmu-miR-483-5p				-0.25	-0.25	N/A
MESDC2	ENST00000261758.4	mesoderm development candidate 2 	1433	1	0	1	0	0	mmu-miR-483-5p				-0.25	-0.29	N/A
ADCY5	ENST00000462833.1	adenylate cyclase 5 	25	1	0	1	0	0	mmu-miR-483-5p				-0.25	-0.31	N/A
ALS2	ENST00000457679.2	amyotrophic lateral sclerosis 2 (juvenile) 	206	1	0	1	0	0	mmu-miR-483-5p				-0.25	-0.25	N/A
PCSK2	ENST00000377899.1	proprotein convertase subtilisin/kexin type 2 	9	1	0	1	0	0	mmu-miR-483-5p				-0.24	-0.24	N/A
PHKA1	ENST00000373542.4	phosphorylase kinase, alpha 1 (muscle) 	277	1	0	1	0	0	mmu-miR-483-5p				-0.24	-0.24	N/A
TRIP13	ENST00000166345.3	thyroid hormone receptor interactor 13 	3078	1	0	0	1	0	mmu-miR-483-5p				-0.24	-0.24	N/A
CADM4	ENST00000222374.2	cell adhesion molecule 4 	50	1	0	1	0	0	mmu-miR-483-5p				-0.24	-0.24	N/A
DNAJC5	ENST00000360864.4	DnaJ (Hsp40) homolog, subfamily C, member 5 	1089	2	1	1	0	0	mmu-miR-483-5p				-0.24	-0.46	N/A
PRR18	ENST00000322583.3	proline rich 18 	15	1	0	1	0	0	mmu-miR-483-5p				-0.24	-0.24	N/A
ATP6V0A1	ENST00000343619.4	ATPase, H+ transporting, lysosomal V0 subunit a1 	290	1	0	1	0	0	mmu-miR-483-5p				-0.24	-0.24	N/A
SLC15A4	ENST00000266771.5	solute carrier family 15 (oligopeptide transporter), member 4 	588	1	0	1	0	0	mmu-miR-483-5p				-0.24	-0.24	N/A
GUCA1B	ENST00000230361.3	guanylate cyclase activator 1B (retina) 	13	1	0	1	0	0	mmu-miR-483-5p				-0.24	-0.42	N/A
CDC42SE1	ENST00000439374.2	CDC42 small effector 1 	231	1	0	1	0	0	mmu-miR-483-5p				-0.24	-0.30	N/A
NEDD4	ENST00000338963.2	neural precursor cell expressed, developmentally down-regulated 4, E3 ubiquitin protein ligase 	289	2	0	2	0	0	mmu-miR-483-5p				-0.24	-0.25	N/A
STXBP4	ENST00000376352.2	syntaxin binding protein 4 	62	1	1	0	0	1	mmu-miR-483-5p				-0.24	-0.36	N/A
TMEM167B	ENST00000338272.8	transmembrane protein 167B 	42	1	0	0	1	0	mmu-miR-483-5p				-0.24	-0.27	N/A
MAPT	ENST00000344290.5	microtubule-associated protein tau 	11	1	0	1	0	0	mmu-miR-483-5p				-0.24	-0.24	N/A
PI16	ENST00000373674.3	peptidase inhibitor 16 	5	1	0	1	0	0	mmu-miR-483-5p				-0.24	-0.24	N/A
NEURL1B	ENST00000369800.5	neuralized homolog 1B (Drosophila) 	5	1	0	0	1	0	mmu-miR-483-5p				-0.24	-0.24	N/A
TTC7A	ENST00000319190.5	tetratricopeptide repeat domain 7A 	400	2	0	2	0	0	mmu-miR-483-5p				-0.24	-0.46	N/A
C17orf103	ENST00000468196.1	chromosome 17 open reading frame 103 	54	1	0	1	0	0	mmu-miR-483-5p				-0.23	-0.23	N/A
KLHL20	ENST00000209884.4	kelch-like family member 20 	324	1	0	0	1	0	mmu-miR-483-5p				-0.23	-0.23	N/A
MAN1A1	ENST00000368468.3	mannosidase, alpha, class 1A, member 1 	248	1	0	0	1	0	mmu-miR-483-5p				-0.23	-0.23	N/A
PCYT1B	ENST00000379145.1	phosphate cytidylyltransferase 1, choline, beta 	5	1	0	1	0	0	mmu-miR-483-5p				-0.23	-0.23	N/A
TIMP3	ENST00000266085.6	TIMP metallopeptidase inhibitor 3 	7421	1	0	1	0	0	mmu-miR-483-5p				-0.23	-0.23	N/A
CTDSP1	ENST00000273062.2	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 1 	1299	1	0	1	0	0	mmu-miR-483-5p				-0.23	-0.23	N/A
PROX2	ENST00000556084.2	prospero homeobox 2 	5	1	0	1	0	0	mmu-miR-483-5p				-0.23	-0.23	N/A
CBX2	ENST00000310942.4	chromobox homolog 2 	1816	1	0	1	0	0	mmu-miR-483-5p				-0.23	-0.23	N/A
RNF14	ENST00000394520.2	ring finger protein 14 	20	1	0	0	1	0	mmu-miR-483-5p				-0.23	-0.23	N/A
WARS2	ENST00000369426.5	tryptophanyl tRNA synthetase 2, mitochondrial 	205	1	0	1	0	0	mmu-miR-483-5p				-0.23	-0.25	N/A
C12orf68	ENST00000316554.3	chromosome 12 open reading frame 68 	5	1	0	1	0	0	mmu-miR-483-5p				-0.23	-0.23	N/A
DIDO1	ENST00000266070.4	death inducer-obliterator 1 	1279	1	0	0	1	0	mmu-miR-483-5p				-0.22	-0.23	N/A
KCTD2	ENST00000322444.6	potassium channel tetramerization domain containing 2 	3328	1	0	1	0	0	mmu-miR-483-5p				-0.22	-0.22	N/A
DLG4	ENST00000399506.2	discs, large homolog 4 (Drosophila) 	75	1	0	1	0	0	mmu-miR-483-5p				-0.22	-0.22	N/A
UGCG	ENST00000374279.3	UDP-glucose ceramide glucosyltransferase 	1200	1	0	1	0	0	mmu-miR-483-5p				-0.22	-0.23	N/A
TMEM242	ENST00000400788.4	transmembrane protein 242 	593	1	0	1	0	0	mmu-miR-483-5p				-0.22	-0.33	N/A
DCTD	ENST00000357067.3	dCMP deaminase 	747	1	0	1	0	0	mmu-miR-483-5p				-0.22	-0.27	N/A
KLHL8	ENST00000273963.5	kelch-like family member 8 	266	1	0	1	0	0	mmu-miR-483-5p				-0.22	-0.22	N/A
IARS	ENST00000375629.3	isoleucyl-tRNA synthetase 	65	1	0	1	0	0	mmu-miR-483-5p				-0.22	-0.22	N/A
EML1	ENST00000262233.6	echinoderm microtubule associated protein like 1 	371	1	0	1	0	0	mmu-miR-483-5p				-0.22	-0.22	N/A
EPM2A	ENST00000367519.3	epilepsy, progressive myoclonus type 2A, Lafora disease (laforin) 	197	1	0	0	1	0	mmu-miR-483-5p				-0.22	-0.22	N/A
MUC3A	ENST00000319509.7	mucin 3A, cell surface associated 	20	1	0	1	0	1	mmu-miR-483-5p				-0.22	-0.28	N/A
OLIG2	ENST00000382357.3	oligodendrocyte lineage transcription factor 2 	15	1	0	0	1	0	mmu-miR-483-5p				-0.22	-0.26	N/A
HDAC10	ENST00000216271.5	histone deacetylase 10 	5	1	0	1	0	0	mmu-miR-483-5p				-0.21	-0.21	N/A
GPRC5C	ENST00000481232.1	G protein-coupled receptor, family C, group 5, member C 	147	1	0	1	0	0	mmu-miR-483-5p				-0.21	-0.21	N/A
PHF20	ENST00000439301.1	PHD finger protein 20 	191	1	0	1	0	0	mmu-miR-483-5p				-0.21	-0.26	N/A
FAM49A	ENST00000381323.3	family with sequence similarity 49, member A 	38	1	0	1	0	0	mmu-miR-483-5p				-0.21	-0.29	N/A
LPIN1	ENST00000256720.2	lipin 1 	357	1	0	1	0	1	mmu-miR-483-5p				-0.21	-0.21	N/A
IFT81	ENST00000242591.5	intraflagellar transport 81 homolog (Chlamydomonas) 	29	1	0	0	1	0	mmu-miR-483-5p				-0.21	-0.21	N/A
GABRE	ENST00000370325.1	gamma-aminobutyric acid (GABA) A receptor, epsilon 	6	1	0	0	1	0	mmu-miR-483-5p				-0.21	-0.21	N/A
CMTM3	ENST00000424011.2	CKLF-like MARVEL transmembrane domain containing 3 	1090	1	0	1	0	0	mmu-miR-483-5p				-0.21	-0.21	N/A
UBQLNL	ENST00000380184.1	ubiquilin-like 	5	1	0	1	0	0	mmu-miR-483-5p				-0.21	-0.21	N/A
DNAJC27	ENST00000264711.2	DnaJ (Hsp40) homolog, subfamily C, member 27 	41	1	0	1	0	0	mmu-miR-483-5p				-0.21	-0.24	N/A
AC068987.1	ENST00000599343.1	HCG1997999; cDNA FLJ33996 fis, clone DFNES2008881  	44	1	0	1	0	0	mmu-miR-483-5p				-0.21	-0.21	N/A
AL020996.1	ENST00000536896.1	Uncharacterized protein  	5	1	0	1	0	0	mmu-miR-483-5p				-0.21	-0.21	N/A
BIVM	ENST00000448849.2	basic, immunoglobulin-like variable motif containing 	440	1	0	0	1	0	mmu-miR-483-5p				-0.21	-0.22	N/A
KIAA1045	ENST00000242315.3	KIAA1045 	42	1	0	1	0	0	mmu-miR-483-5p				-0.21	-0.21	N/A
PRKCD	ENST00000394729.2	protein kinase C, delta 	2225	1	0	1	0	0	mmu-miR-483-5p				-0.21	-0.21	N/A
ANKRD23	ENST00000318357.4	ankyrin repeat domain 23 	9	1	0	0	1	0	mmu-miR-483-5p				-0.21	-0.21	N/A
MON1B	ENST00000248248.3	MON1 secretory trafficking family member B 	910	1	0	1	0	0	mmu-miR-483-5p				-0.21	-0.21	N/A
PPP3CB	ENST00000360663.5	protein phosphatase 3, catalytic subunit, beta isozyme 	105	1	0	0	1	0	mmu-miR-483-5p				-0.21	-0.21	N/A
MAPK8IP3	ENST00000250894.4	mitogen-activated protein kinase 8 interacting protein 3 	100	1	0	1	0	0	mmu-miR-483-5p				-0.20	-0.20	N/A
ANKS6	ENST00000375018.1	ankyrin repeat and sterile alpha motif domain containing 6 	98	1	0	1	0	0	mmu-miR-483-5p				-0.20	-0.34	N/A
RHPN2	ENST00000254260.3	rhophilin, Rho GTPase binding protein 2 	5	1	0	0	1	0	mmu-miR-483-5p				-0.20	-0.20	N/A
MARVELD1	ENST00000285605.6	MARVEL domain containing 1 	2470	1	0	0	1	0	mmu-miR-483-5p				-0.20	-0.20	N/A
PREX1	ENST00000396220.1	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 1 	14	1	0	1	0	0	mmu-miR-483-5p				-0.20	-0.20	N/A
TMEM154	ENST00000304385.3	transmembrane protein 154 	5	1	0	0	1	1	mmu-miR-483-5p				-0.20	-0.20	N/A
TBC1D14	ENST00000448507.1	TBC1 domain family, member 14 	1583	1	0	1	0	0	mmu-miR-483-5p				-0.20	-0.20	N/A
CDIP1	ENST00000564828.1	cell death-inducing p53 target 1 	1857	1	0	1	0	0	mmu-miR-483-5p				-0.20	-0.31	N/A
SNX27	ENST00000368843.3	sorting nexin family member 27 	46	1	0	1	0	1	mmu-miR-483-5p				-0.20	-0.20	N/A
PHLPP2	ENST00000568954.1	PH domain and leucine rich repeat protein phosphatase 2 	172	1	0	1	0	0	mmu-miR-483-5p				-0.20	-0.20	N/A
CREB3L2	ENST00000330387.6	cAMP responsive element binding protein 3-like 2 	2872	1	0	1	0	1	mmu-miR-483-5p				-0.20	-0.22	N/A
RBL1	ENST00000373664.3	retinoblastoma-like 1 (p107) 	88	1	0	1	0	1	mmu-miR-483-5p				-0.20	-0.31	N/A
OCLN	ENST00000355237.2	occludin 	5	1	0	0	1	0	mmu-miR-483-5p				-0.20	-0.20	N/A
KCTD12	ENST00000377474.2	potassium channel tetramerization domain containing 12 	404	1	0	1	0	0	mmu-miR-483-5p				-0.20	-0.20	N/A
C2CD4B	ENST00000380392.3	C2 calcium-dependent domain containing 4B 	14	1	1	0	0	0	mmu-miR-483-5p				-0.20	-0.66	N/A
HLCS	ENST00000336648.4	holocarboxylase synthetase (biotin-(proprionyl-CoA-carboxylase (ATP-hydrolysing)) ligase) 	688	1	0	1	0	0	mmu-miR-483-5p				-0.20	-0.21	N/A
RPH3A	ENST00000415485.3	rabphilin 3A homolog (mouse) 	5	1	0	1	0	0	mmu-miR-483-5p				-0.20	-0.20	N/A
AACS	ENST00000261686.6	acetoacetyl-CoA synthetase 	1594	1	0	0	1	0	mmu-miR-483-5p				-0.20	-0.20	N/A
NF1	ENST00000358273.4	neurofibromin 1 	161	1	0	1	0	0	mmu-miR-483-5p				-0.20	-0.20	N/A
TRABD	ENST00000303434.4	TraB domain containing 	2527	1	0	1	0	0	mmu-miR-483-5p				-0.20	-0.20	N/A
ZNF536	ENST00000355537.3	zinc finger protein 536 	5	1	0	1	0	0	mmu-miR-483-5p				-0.20	-0.20	N/A
PPP1R12B	ENST00000608999.1	protein phosphatase 1, regulatory subunit 12B 	18	1	1	0	0	0	mmu-miR-483-5p				-0.19	-0.19	N/A
NPAS3	ENST00000346562.2	neuronal PAS domain protein 3 	9	1	0	1	0	0	mmu-miR-483-5p				-0.19	-0.19	N/A
ERC2	ENST00000288221.6	ELKS/RAB6-interacting/CAST family member 2 	11	1	0	1	0	1	mmu-miR-483-5p				-0.19	-0.19	N/A
SLC6A6	ENST00000454876.2	solute carrier family 6 (neurotransmitter transporter), member 6 	280	1	1	0	0	0	mmu-miR-483-5p				-0.19	-0.20	N/A
MAML3	ENST00000509479.2	mastermind-like 3 (Drosophila) 	159	1	0	1	0	1	mmu-miR-483-5p				-0.19	-0.19	N/A
PMP22	ENST00000395938.2	peripheral myelin protein 22 	1152	1	0	0	1	0	mmu-miR-483-5p				-0.19	-0.19	N/A
KPNA1	ENST00000344337.6	karyopherin alpha 1 (importin alpha 5) 	1030	1	0	1	0	0	mmu-miR-483-5p				-0.19	-0.25	N/A
SALL2	ENST00000327430.3	sal-like 2 (Drosophila) 	233	1	0	1	0	0	mmu-miR-483-5p				-0.19	-0.19	N/A
HIF1AN	ENST00000299163.6	hypoxia inducible factor 1, alpha subunit inhibitor 	1545	1	0	1	0	1	mmu-miR-483-5p				-0.19	-0.28	N/A
ZWILCH	ENST00000307897.5	zwilch kinetochore protein 	43	1	0	1	0	0	mmu-miR-483-5p				-0.19	-0.19	N/A
FBXL18	ENST00000382368.3	F-box and leucine-rich repeat protein 18 	92	1	0	0	1	0	mmu-miR-483-5p				-0.19	-0.19	N/A
PTPRU	ENST00000428026.2	protein tyrosine phosphatase, receptor type, U 	261	1	0	1	0	0	mmu-miR-483-5p				-0.19	-0.19	N/A
MAP3K9	ENST00000554752.2	mitogen-activated protein kinase kinase kinase 9 	44	1	0	0	1	0	mmu-miR-483-5p				-0.19	-0.19	N/A
TNPO1	ENST00000337273.5	transportin 1 	2041	1	0	0	1	0	mmu-miR-483-5p				-0.19	-0.19	N/A
LRRC32	ENST00000260061.5	leucine rich repeat containing 32 	10	1	0	1	0	0	mmu-miR-483-5p				-0.19	-0.19	N/A
AGFG1	ENST00000310078.8	ArfGAP with FG repeats 1 	2019	1	0	1	0	0	mmu-miR-483-5p				-0.19	-0.20	N/A
ERMAP	ENST00000372514.3	erythroblast membrane-associated protein (Scianna blood group) 	121	1	0	0	1	0	mmu-miR-483-5p				-0.19	-0.19	N/A
FAXC	ENST00000389677.5	failed axon connections homolog (Drosophila) 	95	1	0	0	1	0	mmu-miR-483-5p				-0.19	-0.19	N/A
ACPP	ENST00000336375.5	acid phosphatase, prostate 	22	1	0	1	0	0	mmu-miR-483-5p				-0.18	-0.18	N/A
RNF217	ENST00000521654.2	ring finger protein 217 	92	1	0	0	1	0	mmu-miR-483-5p				-0.18	-0.19	N/A
APBA2	ENST00000558402.1	amyloid beta (A4) precursor protein-binding, family A, member 2 	388	1	0	1	0	0	mmu-miR-483-5p				-0.18	-0.18	N/A
GALNT7	ENST00000265000.4	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 7 (GalNAc-T7) 	953	1	0	1	0	0	mmu-miR-483-5p				-0.18	-0.19	N/A
SNRK	ENST00000429705.2	SNF related kinase 	153	1	0	1	0	0	mmu-miR-483-5p				-0.18	-0.18	N/A
RASSF1	ENST00000327761.3	Ras association (RalGDS/AF-6) domain family member 1 	236	1	0	0	1	0	mmu-miR-483-5p				-0.18	-0.18	N/A
ZDHHC8	ENST00000334554.7	zinc finger, DHHC-type containing 8 	5	1	0	1	0	0	mmu-miR-483-5p				-0.18	-0.18	N/A
KIF1C	ENST00000320785.5	kinesin family member 1C 	149	1	0	0	1	1	mmu-miR-483-5p				-0.18	-0.30	N/A
KIAA1211	ENST00000504228.1	KIAA1211 	631	1	0	1	0	0	mmu-miR-483-5p				-0.18	-0.18	N/A
HSPA12A	ENST00000369209.3	heat shock 70kDa protein 12A 	37	1	1	0	0	0	mmu-miR-483-5p				-0.18	-0.38	N/A
ORMDL3	ENST00000304046.2	ORM1-like 3 (S. cerevisiae) 	82	1	0	1	0	0	mmu-miR-483-5p				-0.18	-0.28	N/A
ELMO2	ENST00000290246.6	engulfment and cell motility 2 	22	1	0	1	0	0	mmu-miR-483-5p				-0.18	-0.18	N/A
PAX2	ENST00000370296.2	paired box 2 	8	1	0	1	0	0	mmu-miR-483-5p				-0.18	-0.18	N/A
SLC25A51	ENST00000380590.3	solute carrier family 25, member 51 	170	1	0	1	0	0	mmu-miR-483-5p				-0.17	-0.18	N/A
LBR	ENST00000272163.4	lamin B receptor 	1217	1	0	1	0	0	mmu-miR-483-5p				-0.17	-0.18	N/A
MTUS1	ENST00000381869.3	microtubule associated tumor suppressor 1 	215	1	0	0	1	0	mmu-miR-483-5p				-0.17	-0.17	N/A
APBB2	ENST00000295974.8	amyloid beta (A4) precursor protein-binding, family B, member 2 	704	1	0	1	0	2	mmu-miR-483-5p				-0.17	-0.20	N/A
ATP7B	ENST00000242839.4	ATPase, Cu++ transporting, beta polypeptide 	88	1	0	0	1	0	mmu-miR-483-5p				-0.17	-0.17	N/A
ROBO1	ENST00000436010.2	roundabout, axon guidance receptor, homolog 1 (Drosophila) 	546	1	0	1	0	0	mmu-miR-483-5p				-0.17	-0.17	N/A
RBBP9	ENST00000337227.4	retinoblastoma binding protein 9 	102	1	0	0	1	0	mmu-miR-483-5p				-0.17	-0.18	N/A
ARHGAP44	ENST00000262444.9	Rho GTPase activating protein 44 	22	1	0	1	0	0	mmu-miR-483-5p				-0.17	-0.23	N/A
PRSS27	ENST00000302641.3	protease, serine 27 	24	1	0	1	0	0	mmu-miR-483-5p				-0.17	-0.42	N/A
ARHGEF12	ENST00000397843.2	Rho guanine nucleotide exchange factor (GEF) 12 	815	1	0	1	0	0	mmu-miR-483-5p				-0.17	-0.20	N/A
PIK3C2B	ENST00000367187.3	phosphatidylinositol-4-phosphate 3-kinase, catalytic subunit type 2 beta 	15	1	0	0	1	0	mmu-miR-483-5p				-0.17	-0.17	N/A
ABHD2	ENST00000352732.5	abhydrolase domain containing 2 	210	1	0	1	0	0	mmu-miR-483-5p				-0.17	-0.19	N/A
SPRED3	ENST00000587013.1	sprouty-related, EVH1 domain containing 3 	42	1	0	1	0	0	mmu-miR-483-5p				-0.17	-0.19	N/A
GOLIM4	ENST00000470487.1	golgi integral membrane protein 4 	48	1	0	1	0	0	mmu-miR-483-5p				-0.17	-0.17	N/A
STK4	ENST00000372801.1	serine/threonine kinase 4 	276	1	0	1	0	0	mmu-miR-483-5p				-0.17	-0.17	N/A
TNRC6A	ENST00000395799.3	trinucleotide repeat containing 6A 	267	1	0	0	1	1	mmu-miR-483-5p				-0.17	-0.17	N/A
ZNF469	ENST00000437464.1	zinc finger protein 469 	139	1	0	1	0	0	mmu-miR-483-5p				-0.16	-0.16	N/A
ZNF532	ENST00000336078.4	zinc finger protein 532 	5	1	0	0	1	0	mmu-miR-483-5p				-0.16	-0.16	N/A
ARRDC3	ENST00000265138.3	arrestin domain containing 3 	1313	1	0	0	1	0	mmu-miR-483-5p				-0.16	-0.16	N/A
PLOD3	ENST00000223127.3	procollagen-lysine, 2-oxoglutarate 5-dioxygenase 3 	904	1	0	1	0	0	mmu-miR-483-5p				-0.16	-0.16	N/A
TMEM200B	ENST00000521452.1	transmembrane protein 200B 	152	1	0	0	1	0	mmu-miR-483-5p				-0.16	-0.16	N/A
TMEM241	ENST00000383233.3	transmembrane protein 241 	115	1	0	0	1	0	mmu-miR-483-5p				-0.16	-0.16	N/A
FTO	ENST00000471389.1	fat mass and obesity associated 	240	1	0	1	0	2	mmu-miR-483-5p				-0.16	-0.17	N/A
PPP6R1	ENST00000412770.2	protein phosphatase 6, regulatory subunit 1 	292	1	0	1	0	0	mmu-miR-483-5p				-0.16	-0.19	N/A
SMAD5	ENST00000545279.1	SMAD family member 5 	225	1	0	1	0	0	mmu-miR-483-5p				-0.16	-0.26	N/A
GMEB2	ENST00000370069.1	glucocorticoid modulatory element binding protein 2 	240	1	0	1	0	0	mmu-miR-483-5p				-0.16	-0.16	N/A
POLR3D	ENST00000397802.4	polymerase (RNA) III (DNA directed) polypeptide D, 44kDa 	678	1	0	1	0	0	mmu-miR-483-5p				-0.16	-0.32	N/A
NDST1	ENST00000261797.6	N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 1 	13660	1	0	1	0	1	mmu-miR-483-5p				-0.16	-0.16	N/A
PROX1	ENST00000366958.4	prospero homeobox 1 	131	1	0	0	1	1	mmu-miR-483-5p				-0.16	-0.17	N/A
LBX1	ENST00000370193.2	ladybird homeobox 1 	8	1	0	1	0	1	mmu-miR-483-5p				-0.16	-0.47	N/A
WSCD2	ENST00000332082.4	WSC domain containing 2 	5	1	0	1	0	0	mmu-miR-483-5p				-0.16	-0.16	N/A
DOCK8	ENST00000432829.2	dedicator of cytokinesis 8 	11	1	0	0	1	0	mmu-miR-483-5p				-0.16	-0.16	N/A
STK39	ENST00000355999.4	serine threonine kinase 39 	266	1	0	1	0	0	mmu-miR-483-5p				-0.16	-0.21	N/A
GBA	ENST00000368373.3	glucosidase, beta, acid 	27	1	0	0	1	0	mmu-miR-483-5p				-0.16	-0.16	N/A
ARID1B	ENST00000346085.5	AT rich interactive domain 1B (SWI1-like) 	220	2	0	1	1	0	mmu-miR-483-5p				-0.16	-0.27	N/A
AMIGO1	ENST00000369864.4	adhesion molecule with Ig-like domain 1 	167	1	0	1	0	1	mmu-miR-483-5p				-0.16	-0.16	N/A
MVB12B	ENST00000361171.3	multivesicular body subunit 12B 	29	1	0	1	0	0	mmu-miR-483-5p				-0.15	-0.15	N/A
LRTM2	ENST00000543818.1	leucine-rich repeats and transmembrane domains 2 	5	1	0	1	0	0	mmu-miR-483-5p				-0.15	-0.15	N/A
CLIP1	ENST00000361654.4	CAP-GLY domain containing linker protein 1 	17	1	0	1	0	0	mmu-miR-483-5p				-0.15	-0.27	N/A
MEX3B	ENST00000558133.1	mex-3 RNA binding family member B 	1401	1	0	1	0	0	mmu-miR-483-5p				-0.15	-0.15	N/A
PRR14L	ENST00000434485.1	proline rich 14-like 	39	1	0	1	0	1	mmu-miR-483-5p				-0.15	-0.15	N/A
FAM219B	ENST00000357635.5	family with sequence similarity 219, member B 	270	1	0	1	0	0	mmu-miR-483-5p				-0.15	-0.15	N/A
SPATA5	ENST00000274008.4	spermatogenesis associated 5 	168	1	0	1	0	0	mmu-miR-483-5p				-0.15	-0.19	N/A
C12orf61	ENST00000408887.2	chromosome 12 open reading frame 61 	5	1	0	1	0	0	mmu-miR-483-5p				-0.15	-0.15	N/A
PITPNM2	ENST00000280562.5	phosphatidylinositol transfer protein, membrane-associated 2 	66	1	0	1	0	0	mmu-miR-483-5p				-0.15	-0.19	N/A
STK40	ENST00000359297.2	serine/threonine kinase 40 	214	1	0	1	0	0	mmu-miR-483-5p				-0.15	-0.17	N/A
VASH1	ENST00000167106.4	vasohibin 1 	39	1	0	0	1	0	mmu-miR-483-5p				-0.15	-0.15	N/A
TUFT1	ENST00000368849.3	tuftelin 1 	599	1	0	1	0	0	mmu-miR-483-5p				-0.15	-0.15	N/A
ONECUT2	ENST00000491143.2	one cut homeobox 2 	847	1	0	1	0	0	mmu-miR-483-5p				-0.15	-0.16	N/A
CELSR3	ENST00000164024.4	cadherin, EGF LAG seven-pass G-type receptor 3 	13	1	0	1	0	0	mmu-miR-483-5p				-0.15	-0.17	N/A
PLAG1	ENST00000316981.3	pleiomorphic adenoma gene 1 	58	1	0	1	0	0	mmu-miR-483-5p				-0.15	-0.15	N/A
PHF15	ENST00000402835.1	PHD finger protein 15 	387	2	0	2	0	2	mmu-miR-483-5p				-0.15	-0.22	N/A
EPB41L3	ENST00000341928.2	erythrocyte membrane protein band 4.1-like 3 	179	1	0	0	1	0	mmu-miR-483-5p				-0.15	-0.19	N/A
ELMSAN1	ENST00000394071.2	ELM2 and Myb/SANT-like domain containing 1 	15	2	0	2	0	0	mmu-miR-483-5p				-0.15	-0.15	N/A
MAK	ENST00000313243.2	male germ cell-associated kinase 	7	1	0	1	0	0	mmu-miR-483-5p				-0.15	-0.22	N/A
SYTL4	ENST00000372989.1	synaptotagmin-like 4 	84	1	0	0	1	0	mmu-miR-483-5p				-0.15	-0.15	N/A
ITGB8	ENST00000222573.4	integrin, beta 8 	17	1	0	1	0	0	mmu-miR-483-5p				-0.15	-0.21	N/A
PCNX	ENST00000304743.2	pecanex homolog (Drosophila) 	458	1	0	1	0	1	mmu-miR-483-5p				-0.15	-0.20	N/A
SYT6	ENST00000607941.1	synaptotagmin VI 	5	1	0	1	0	0	mmu-miR-483-5p				-0.15	-0.15	N/A
CAMK1D	ENST00000378847.3	calcium/calmodulin-dependent protein kinase ID 	258	1	0	0	1	0	mmu-miR-483-5p				-0.14	-0.16	N/A
KCNJ6	ENST00000609713.1	potassium inwardly-rectifying channel, subfamily J, member 6 	5	2	0	2	0	1	mmu-miR-483-5p				-0.14	-0.14	N/A
GIGYF1	ENST00000275732.5	GRB10 interacting GYF protein 1 	5	1	0	1	0	0	mmu-miR-483-5p				-0.14	-0.14	N/A
PIM3	ENST00000360612.4	pim-3 oncogene 	9484	1	0	1	0	0	mmu-miR-483-5p				-0.14	-0.14	N/A
PRKAR1A	ENST00000589228.1	protein kinase, cAMP-dependent, regulatory, type I, alpha 	1257	1	0	0	1	0	mmu-miR-483-5p				-0.14	-0.15	N/A
SLC36A1	ENST00000243389.3	solute carrier family 36 (proton/amino acid symporter), member 1 	236	1	0	1	0	1	mmu-miR-483-5p				-0.14	-0.14	N/A
ITGA6	ENST00000375221.2	integrin, alpha 6 	1328	1	0	1	0	0	mmu-miR-483-5p				-0.14	-0.14	N/A
ARID5B	ENST00000279873.7	AT rich interactive domain 5B (MRF1-like) 	397	1	0	1	0	0	mmu-miR-483-5p				-0.14	-0.14	N/A
CLIP2	ENST00000223398.6	CAP-GLY domain containing linker protein 2 	2111	1	0	1	0	0	mmu-miR-483-5p				-0.14	-0.14	N/A
WSCD1	ENST00000574946.1	WSC domain containing 1 	403	1	0	0	1	0	mmu-miR-483-5p				-0.14	-0.18	N/A
FICD	ENST00000361549.2	FIC domain containing 	54	1	0	1	0	0	mmu-miR-483-5p				-0.14	-0.14	N/A
